period,age,race,prev_value,SD_prev,LB_prev,UB_prev,foi_value,SD_foi,LB_foi,UB_foi,year
1,0,Hispanic,0,0,0,0,0.798948130462146,0.0971588680426539,0.60311615685814,0.975088644853024,1991
1,0,NH Black,0,0,0,0,291804402631.616,3223652590063.64,0.884639799793185,749265051060.798,1991
1,0,NH White,0,0,0,0,0.75159871944457,0.138593632758203,0.528624417283357,1.00261386223302,1991
1,0,Other,0,0,0,0,0.720285548939132,0.196702910802751,0.418274872538854,1.07926840473302,1991
1,1,Hispanic,34.5885875310164,0.0227002584970868,30.1521406505718,38.6125213589851,0.255053714925435,0.0244489747540023,0.209371091470922,0.301225947466742,1991
1,1,NH Black,48.7394342276818,0.0342294081561208,40.8782999957976,53.8199604625914,0.151320671993435,0.114061666717826,0.00876495512605774,0.321285203641953,1991
1,1,NH White,22.7814234566442,0.0126285032535323,20.3518290220812,25.0669555449684,0.0675000638504257,0.017663778883123,0.0405884287429065,0.100406711390101,1991
1,1,Other,30.342954710648,0.0399329076319199,23.8459571939589,37.8320579371035,0.214724485877997,0.0471756783396957,0.13374704355925,0.298544906502214,1991
1,2,Hispanic,43.3496564606162,0.0228667146747847,38.9973235882984,47.4744158343601,0.0943495464114908,0.012669924866009,0.0721950146159967,0.120164767827045,1991
1,2,NH Black,51.3996117287056,0.0168935222032726,47.954777678489,54.7058669039261,0.0171864171775068,0.0208155338196173,0.000135570105635532,0.0698686148364408,1991
1,2,NH White,25.1564538894896,0.00940030356018767,23.2725877593609,26.8555682284495,0.0128643641257097,0.00524993388853117,0.00479291543607355,0.0233750479377828,1991
1,2,Other,38.4477649744186,0.0378946574960694,32.1004837567564,45.8000496429058,0.086876310866688,0.0227344890070089,0.051512566456699,0.130976376677252,1991
1,3,Hispanic,47.3516846654606,0.0221760675790025,43.1236240390686,51.3484303761567,0.0484127916020058,0.00810711697441098,0.0342274582252044,0.0646949749221566,1991
1,3,NH Black,51.7516197659364,0.0161045728912905,48.6660270759212,55.0499923566731,0.00259547179139016,0.00467271355363035,2.1471442993179e-06,0.0168227402951797,1991
1,3,NH White,25.7877458717518,0.00805348288606782,24.181057128787,27.2791859909672,0.00419709172793488,0.00221028023445269,0.000937676571994515,0.00887500666541456,1991
1,3,Other,42.4178223512791,0.0358331440982889,36.1884982166865,49.4243153455986,0.0476966350317695,0.0130277753701499,0.0263445707120957,0.0732282065259828,1991
1,4,Hispanic,49.6474708177148,0.0214015695274375,45.5602131521103,53.5234666830324,0.0291793413907867,0.00597223170820772,0.0189285713138784,0.0411437373954913,1991
1,4,NH Black,51.8213267508765,0.0162175679881652,48.7167957823017,55.1475420610424,0.000559342197118408,0.00140257807005111,3.46676954717635e-08,0.00496259158498219,1991
1,4,NH White,26.027985317253,0.00741712841285229,24.5675353877109,27.4365174837738,0.00174827299045294,0.00113114688260093,0.000227159669284707,0.00429198501203497,1991
1,4,Other,44.8360046175532,0.0342143430097365,38.7131682088775,51.529021475851,0.0304848961055089,0.00876427862647781,0.0155676742599562,0.0477916658175707,1991
1,5,Hispanic,51.1188945329766,0.0207106361758447,47.1579907008895,54.9064504407969,0.0192300373116152,0.00471765235073392,0.0113181145340556,0.0286583621092975,1991
1,5,NH Black,51.840341412116,0.0162970543661888,48.7238685090982,55.1719124298619,0.000162051617251533,0.000525468558249678,5.61016923839567e-10,0.00170352289784446,1991
1,5,NH White,26.1367444836549,0.00710409844221936,24.7542371692346,27.507678952652,0.000833086375083485,0.000639788832783246,6.18549974282632e-05,0.00235719204360338,1991
1,5,Other,46.4753423481179,0.0329931209277171,40.4457264058709,52.906303235022,0.0212277328595441,0.0064957708828279,0.00992567137964186,0.0341104711825434,1991
1,6,Hispanic,52.1260819996933,0.0201345686950321,48.2718223677031,55.8496748106711,0.0134112004968002,0.00388101777598463,0.0070426084038327,0.0211500187941374,1991
1,6,NH Black,51.8467569353262,0.0163344587109078,48.7243062612371,55.1922581300571,5.7098410429685e-05,0.000226778271259882,9.17103029385213e-12,0.000639478838340036,1991
1,6,NH White,26.1913558146765,0.00694698960004746,24.8502028878404,27.546810581382,0.000432676006842213,0.000384641138983381,1.79005271086218e-05,0.00139754178730011,1991
1,6,Other,47.6593450810528,0.0320961428383331,41.7001549279549,53.8895163048427,0.0156067049779245,0.00510920868128702,0.00665512403202971,0.0257949225064641,1991
1,7,Hispanic,52.8465092542284,0.0196717775963957,49.0807509276371,56.5243077082181,0.00972744526163522,0.00327096252653293,0.00448567920430826,0.0162596983154707,1991
1,7,NH Black,51.8492264429652,0.016351576650181,48.724357360475,55.1968277751956,2.27013767293418e-05,0.000107119116656258,1.49401158730666e-13,0.000252952709497789,1991
1,7,NH White,26.2207690646605,0.00686760211288505,24.9011528378916,27.5693537718201,0.000238774697098901,0.000241186922126168,5.41193030371166e-06,0.000870091978934057,1991
1,7,Other,48.5511513037654,0.0314553268383529,42.6510702589469,54.6485206123724,0.0119116644470782,0.00417714490145909,0.00459214233264864,0.0203065515650508,1991
1,8,Hispanic,53.3784640011788,0.0193124628560643,49.6814929718334,57.0120657604911,0.00726289913885193,0.00279392405353629,0.00292117709814209,0.0128557257186339,1991
1,8,NH Black,51.8502624616304,0.0163595942941271,48.7243640103649,55.1997181772955,9.76852649952569e-06,5.38250682842801e-05,2.43680146637256e-15,0.0001030796202466,1991
1,8,NH White,26.2374448900251,0.00682753241504081,24.9290153283476,27.5831629522815,0.000137915350122394,0.000156062795066298,1.67979643178088e-06,0.00056066407814409,1991
