V1,V2,V3,V4,V5,V6
-104.175345697491,317.188269970948,0.0126093600059745,199.42421780404,0.475087834208174,856.473584314862
-104.18803523014,317.889752054819,0.0126166950971251,200.793387363173,0.475236800328336,855.606888788162
-104.20073219158,318.5959521621,0.0121363169508195,202.222176504625,0.475392635223587,854.499638205618
-104.212942754956,319.240298905156,0.0120649406383565,203.401892034743,0.475499784105846,854.454180372339
-104.225081067742,319.878318106313,0.0117387619456335,204.580607222853,0.475604219638895,854.413429514578
-104.23688927294,320.475041912587,0.0117923637395887,205.601854879215,0.47567761928472,855.028263659772
-104.248751718096,321.082321024834,0.0118874359905857,206.69087292923,0.475761673293814,855.356143497938
-104.260710374636,321.70589822838,0.0112285153632988,207.877664588579,0.475861140188815,855.277653446081
-104.272002405684,322.24197833794,0.0110946831050615,208.705548185894,0.475893552954908,856.672449992516
-104.28315909383,322.762507665294,0.0110195452791828,209.481777402756,0.475915773053927,858.268052207171
-104.294239804053,323.275490649975,0.0107753942782526,210.238354937859,0.4759339327246,859.932339855299
-104.305073673332,323.75747419546,0.0106535211921924,210.879660284105,0.475930301039333,862.056202772759
-104.315784349579,324.225228483745,0.0105899991701321,211.471806015383,0.47591755420891,864.368307473394
-104.326430821844,324.686763072527,0.0106519687976157,212.045453040589,0.475901629259253,866.74319474696
-104.337139928981,325.159482322338,0.0102975816873098,212.668840719325,0.475895386729109,868.901760079643
-104.347490897583,325.585422218425,0.0102641508598048,213.117551160289,0.47585633845781,871.762463001853
-104.357808088089,326.009113833757,0.0103398919277597,213.56002500015,0.475816887230708,874.636715547203
-104.368201808072,326.445786045517,0.00989067676430007,214.053849863265,0.47578800484463,877.288332523899
-104.378141722511,326.822019311778,0.00989287927537286,214.328537787014,0.475717449546015,880.828434154152
-104.388083861466,327.200776277214,0.00997503390460958,214.610560801356,0.475649636380843,884.329212906689
-104.398108979359,327.593276968621,0.00992654263553386,214.940260379335,0.475592412391889,887.623650789298
-104.408085118607,327.981206448095,0.0099007877052337,215.253146455115,0.475533030392375,890.977664652298
-104.418035245043,328.367729782746,0.00996555858206604,215.560285993032,0.475473681744148,894.345810102152
-104.42805079219,328.765592940602,0.00994359607141692,215.907439823921,0.475423243550465,897.537813474319
-104.438044156001,329.162583986111,0.00994442557267168,216.251504016488,0.475373239746246,900.73245167938
-104.448038357645,329.561908929623,0.00993680234330101,216.604072631081,0.475325898469386,903.881411134878
-104.458024859519,329.962366583103,0.00998372712706693,216.961008899859,0.475280386388506,907.001856659295
-104.468058758263,330.371690098783,0.0100631377223184,217.350805433596,0.475242101847404,909.974304936752
-104.478172871627,330.794526285969,0.00980379506796322,217.792045371197,0.475214369851765,912.720235151005
-104.488025040317,331.182692381178,0.00986924645264685,218.108250542649,0.475163643458146,915.980437085051
-104.497943310601,331.582324574795,0.009822571413273,218.465487898461,0.475121802185294,919.058361856669
-104.507814441718,331.977451104937,0.00985126270382563,218.80683142449,0.475077871793273,922.193291574415
-104.517714549163,332.378815706784,0.00993107465276164,219.17103450967,0.475039238355954,925.221840305742
-104.527695265877,332.793756436695,0.00996982147275209,219.586017555954,0.475011023852229,928.025450705269
-104.537715118835,333.216431287479,0.0099103305057977,220.031850759063,0.474989266364047,930.687836212521
-104.547674883543,333.632745555732,0.00990302232325909,220.456425195631,0.474964198834962,933.429553377131
-104.557627266945,334.050165550601,0.00988686217912887,220.887287122415,0.474940975876064,936.134054360573
-104.567563328701,334.467406610632,0.00995967960218778,221.319794430976,0.474918710502261,938.821038039301
-104.577572937709,334.897297372733,0.00992326870874607,221.802624737978,0.474906295046998,941.283704669506
-104.587545770211,335.324091113489,0.00989893043074082,222.277250228691,0.474892864085002,943.770545479725
-104.597494020802,335.749507798688,0.00978609256993951,222.75006615177,0.474879598971557,946.254483889944
-104.607328311883,336.160697124683,0.009849021059233,223.172461586494,0.474857651788244,948.942468013005
-104.617226155384,336.58310160145,0.00991956423282519,223.639497165105,0.474844453151967,951.430146082331
-104.627195246288,337.017866140012,0.0100095121535663,224.157413922146,0.474840885741103,953.690702452205
-104.637255190424,337.467859957629,0.0101099222857354,224.739756317533,0.474849057880372,955.666512780106
-104.647416565054,337.934665719304,0.0101433500337956,225.396044687803,0.474870234942269,957.31761049893
-104.657611709405,338.408559240881,0.0100065444307916,226.089817053294,0.474897715489404,958.799967070451
-104.667668655817,338.864648116401,0.0098557917607355,226.720327203402,0.474914049557742,960.541479997071
-104.67757333739,339.300799146004,0.00990356189225028,227.278656886272,0.474917814774502,962.579255382282
-104.687526265758,339.746038564151,0.00982929270644198,227.8790025392,0.474929021759956,964.429006259071
-104.697404184866,340.182462509897,0.00990676792641179,228.450936843858,0.474935355568503,966.389331048601
-104.707360351342,340.632346129343,0.00999522099009983,229.083235321554,0.474952145047004,968.084440688032
-104.717405859925,341.097353966718,0.00983992558885806,229.785619809236,0.474980677638967,969.474127837863
-104.727294517525,341.541568378579,0.0097756618058462,230.412113452234,0.474996109050938,971.175445204059
-104.737118274812,341.978340379858,0.00985851016811078,231.016012869784,0.475007638316553,972.962783716333
-104.747025701856,342.429392731779,0.00983121840872638,231.685434642909,0.475030160953671,974.464855300863
-104.756905565785,342.878453748162,0.00965392374447991,232.355477351347,0.475052557610323,975.95566107769
-104.76661969508,343.292009527435,0.00965425495321194,232.928900251397,0.475053176792041,977.843753337114
-104.776320854481,343.718687308787,0.00970412091135395,233.522894985688,0.475062653557355,979.636177016591
-104.786072367221,344.154736980756,0.0097961117080115,234.162037449534,0.475079637237346,981.230089434615
-104.795916776509,344.606461423531,0.00965243213687814,234.874640412261,0.475108524219383,982.507621691684
-104.805616095326,345.038759774885,0.0097309760763929,235.516133048188,0.47512540710681,984.074763186947
-104.815394726758,345.484731871055,0.00974184064143614,236.222949600612,0.475152768596947,985.360552115683
-104.825184329576,345.934300015437,0.00975463807112016,236.955021859672,0.475183823719524,986.533402563708
-104.834986855805,346.3877565489,0.00976252734992084,237.7144899794,0.475218795982618,987.585083782922
-104.844797349059,346.84436933188,0.00978689227707105,238.499156291105,0.475257208944088,988.525508868413
-104.854632447752,347.306613795309,0.00975419706028,239.320767303134,0.475300784420351,989.30686582342
-104.864434528625,347.765919553087,0.00967459647842762,240.142830850411,0.475343671535386,990.081008549647
-104.87415622806,348.215200027678,0.00975918071924569,240.934177831672,0.475381024336458,990.976319619808
