a_11,a_12,a_13,a_14,a_21,a_22,a_23,a_24,a_31,a_32,a_33,a_34,a_41,a_42,a_43,a_44
0.718764357766112,0.25728578399472,0.240301217863035,0.202446351943438,0.57712151847257,0.440103100975561,0.502757178184498,0.610943708735755,0.0997769335938351,0.0902835500708496,0.901141515765227,0.0305070460672291,0.0495527658098818,0.0566110454656645,0.0255739999562105,0.922772284763154
0.781629139654246,0.387360250947104,0.14070006136837,0.20864125098742,0.507354067410057,0.46772910799521,0.488081166754845,0.60089189344282,0.0644799931080526,0.102746769659327,0.937808760600327,0.0499718175999526,0.0548654594649758,0.0629321001655802,0.0266522006120999,0.908718646687084
0.749286243810114,0.3085183016917,0.246699592219857,0.216095882556756,0.567802378603212,0.445582920367613,0.490123759389971,0.66300323739444,0.0870283780543226,0.0717452801983111,0.954280171657085,0.0297824014147167,0.0583723540250512,0.0714869575154891,0.0211253103067583,0.89810375632381
0.772581993718685,0.283072686173814,0.19056686311844,0.233068990352932,0.601395979445972,0.441658560542492,0.478866208479504,0.647798409105112,0.0900695956965964,0.0893166106857671,0.933124800040613,0.0447208647069997,0.0574466642635351,0.042809020497326,0.0153334761196205,0.889901925390381
0.699198942724694,0.300048466512158,0.229502339515114,0.228051588788086,0.584618279218955,0.389086362078178,0.604231881729414,0.552540376814882,0.0902930922851226,0.0767277386490721,0.865269784332871,0.0310311774855783,0.0772635591217254,0.0464036009091642,0.0263588448368315,0.852083871804704
0.749790358221064,0.310003859305036,0.227175076198005,0.210763567948781,0.61515335055399,0.427973808040067,0.523520576699264,0.608010544267657,0.0943654181795934,0.0840262087091446,0.894277411612879,0.03415429046452,0.0554943426872225,0.0652342864439383,0.0223570604059922,0.892132325764887
0.781208494050895,0.271730967995063,0.251853364270744,0.191708659960608,0.604471189420602,0.390041115455,0.596622748163217,0.631276440333461,0.104318909786412,0.093060418212833,0.894944601617448,0.0512720867572757,0.0360839323860905,0.0522407885817981,0.0168646624178427,0.906741916174993
0.68223817289336,0.363933333385283,0.227196073496965,0.21515414927462,0.622303706391655,0.401385612526624,0.545565730129057,0.677755664985301,0.0673745397898596,0.0891259249879463,0.903599040701201,0.0336658820268187,0.0631718385637783,0.0661982601716674,0.0165802211502123,0.877099579140399
0.666912540201527,0.31129521843557,0.288963793322867,0.267439479509681,0.65088083436817,0.360627905080655,0.555400468249361,0.760072271804071,0.127862688071309,0.0970308146754968,0.937581954886093,0.0278685603669023,0.0658802212879061,0.10316960253975,0.00944380029444562,0.928974915504085
0.758197290301508,0.267452574046216,0.244769827251336,0.21710388626117,0.629072672067753,0.448721819710676,0.457848566142462,0.618263134337084,0.0846364567733762,0.0926036313437374,0.958871772221427,0.0199583260654107,0.0676402630625965,0.074108014754803,0.0177121748239298,0.878151464080936
