b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16
2.09584848999228,-1.9247723562848,-2.81116502978435,-1.17226659088382,4.59950731688569e-07,-4.67422089166275e-07,4.48973548134755e-07,4.90071462885376e-07,1.56321784408419e-07,1.68023951588477e-07,-1.59671081828378e-07,1.7041168770114e-07,1.45591251442171e-07,1.51554965984257e-07,2.53622425945399e-07,-1.61951019477727e-07
-1.9247723562848,1.79102128715801,2.5286362752234,1.1362504785295,-4.34970369267683e-07,4.42036150286514e-07,-4.24588780170192e-07,-4.63456199657197e-07,-1.46527903762635e-07,-1.57462523468549e-07,1.49669804501278e-07,-1.59810464746165e-07,-1.35385033687552e-07,-1.40950782051673e-07,-2.36216448035467e-07,1.50654609935772e-07
-2.81116502978435,2.5286362752234,4.17836875697555,1.0266630576358,-5.26532916915664e-07,5.3508489761174e-07,-5.13973385665003e-07,-5.61007008737897e-07,-2.02783380768249e-07,-2.18080005316004e-07,2.07142384667963e-07,-2.20992817456541e-07,-1.94319621704231e-07,-2.0205961583556e-07,-3.34258548759117e-07,2.15512892519764e-07
-1.17226659088382,1.1362504785295,1.0266630576358,1.39849937453316,-3.78400888561076e-07,3.84548754356088e-07,-3.69360744976908e-07,-4.03190400216307e-07,-9.52325072087342e-08,-1.02218660399639e-07,9.72506855341544e-08,-1.0386044575661e-07,-8.16179878041948e-08,-8.52631417376058e-08,-1.48029732329876e-07,9.16728082013968e-08
4.59950731688568e-07,-4.34970369267683e-07,-5.26532916915664e-07,-3.78400888561075e-07,5.86453434978297,-5.96000832938105,5.72487614275152,6.24908238500147,-3.07479702135537e-07,-3.2016445713651e-07,3.15957367827617e-07,-3.6770606132435e-07,-9.26160258144407e-08,-1.08524478798291e-07,-2.18416742308655e-07,1.14422492492118e-07
-4.67422089166273e-07,4.42036150286513e-07,5.35084897611739e-07,3.84548754356087e-07,-5.96000832938104,6.05871480878489,-5.82123345365051,-6.35420911348956,3.12571621599673e-07,3.25467372492838e-07,-3.21188810092629e-07,3.73786011158156e-07,9.41512998009562e-08,1.10326123137477e-07,2.22031227411439e-07,-1.16319231334963e-07
4.48973548134752e-07,-4.24588780170188e-07,-5.13973385664999e-07,-3.69360744976905e-07,5.72487614275148,-5.82123345365048,5.60031045228733,6.10337759572154,-3.00202519657151e-07,-3.12586954903492e-07,3.08478455689183e-07,-3.58993738105008e-07,-9.03408379452144e-08,-1.05888437597946e-07,-2.13178117580522e-07,1.11637922347137e-07
4.90071462885374e-07,-4.63456199657195e-07,-5.61007008737895e-07,-4.03190400216306e-07,6.24908238500145,-6.35420911348956,6.10337759572157,6.66778548574179,-3.27888244914159e-07,-3.41418019733254e-07,3.36926499727926e-07,-3.92088211463635e-07,-9.88168588087269e-08,-1.15781289816369e-07,-2.3294783764301e-07,1.2206805491704e-07
1.56321784408419e-07,-1.46527903762634e-07,-2.02783380768248e-07,-9.52325072087339e-08,-3.07479702135536e-07,3.12571621599673e-07,-3.00202519657153e-07,-3.27888244914159e-07,0.931786153401267,0.957152612872488,-0.945707210146799,1.02664689606552,-2.26940823414901e-07,-2.36322113947173e-07,-4.65559685888063e-07,2.61984018492312e-07
1.68023951588477e-07,-1.57462523468549e-07,-2.18080005316004e-07,-1.02218660399639e-07,-3.2016445713651e-07,3.25467372492839e-07,-3.12586954903494e-07,-3.41418019733255e-07,0.95715261287249,1.0172560974789,-0.979116396646829,1.07323711072515,-2.38490322685328e-07,-2.4836689531854e-07,-4.87684050443336e-07,2.75109830120687e-07
-1.59671081828378e-07,1.49669804501278e-07,2.07142384667963e-07,9.72506855341543e-08,3.15957367827617e-07,-3.2118881009263e-07,3.08478455689185e-07,3.36926499727927e-07,-0.945707210146799,-0.979116396646828,0.964343613815028,-1.06733944581133,2.33386447542604e-07,2.43046474072784e-07,4.77826847961491e-07,-2.69299210529872e-07
