b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52,b53,b54,b55,b56,b57,b58,b59,b60,b61,b62,b63,b64,b65,b66,b67,b68,b69,b70,b71,b72,b73,b74,b75,b76,b77,b78,b79,b80
381.310596316505,326.347574372886,331.405221553145,343.77316936341,352.116337115927,358.221929802136,361.489411725999,367.906277918053,366.692948801168,364.530060796667,345.567929019267,296.367728144849,282.149800574616,263.351978290414,255.803645228275,207.491080490035,461.080782115123,385.669753329816,389.765918036992,398.640691859921,404.383530650997,408.236970692066,410.480388345483,414.387230169726,523.266033581309,416.100724675653,414.558493970786,418.707084559298,421.332691616719,422.923256271353,423.756808407933,425.54460818291,333.866058579598,286.66714914305,279.758841735888,264.438064363411,263.328375523288,258.120289682839,256.560048988129,237.870985647306,333.687590793353,300.079992488091,305.315701904848,318.428771103354,328.715739337469,336.409128514266,340.945253947374,349.579531598216,430.854841703268,320.261087905395,325.00729697916,337.642226917206,346.000700994681,352.126665939416,355.362822009457,362.333929267582,389.152237225104,321.190763151712,311.357066672638,289.149144327052,284.703943997986,276.802763129534,274.094049878401,249.916143097241,409.820749060481,345.091652868345,333.347936941947,306.632115018177,298.928376163939,288.705960261751,284.660682389856,258.417741510563,472.125430246004,362.649116597171,368.198296528635,379.939071657692,387.48025812966,392.494897064541,395.321901991129,400.97478916876
190.6386470659,163.170216547018,165.703050696047,171.887494036791,176.058592063983,179.111482769882,180.656043509592,183.95354232485,183.342518101263,182.263921625088,172.782491945754,148.178123265311,141.072324574763,131.674640949161,127.845569673376,103.753264634913,230.543582522486,192.833039237043,194.883256309185,199.32080223537,202.19195923396,204.118071450393,205.220986344266,207.196729959827,261.633462514406,208.050322151809,207.27925488396,209.353577022907,210.666351630423,211.461586248639,211.878725387344,212.771965446455,166.933505087132,143.334414118253,139.879794765926,132.21855463956,131.664099472861,129.057805027733,128.217159579487,118.939517532689,166.828060198268,150.027629974508,152.659783534464,159.217678376805,164.359024821628,168.204397914103,170.755460160485,174.795836875859,215.420139328399,160.130760699375,162.503830761471,168.821265643545,173.0004384606,176.062653377429,177.671981832331,181.167095073097,194.577373967675,160.595262500036,155.6782439738,144.573502156237,142.351208075565,138.402499142331,137.047327489909,124.967167550096,204.909040715388,172.543361377461,166.673946677668,153.316402364715,149.464343627922,144.352667944837,142.297845105016,129.208930299666,236.065184692109,181.324429258735,184.099286976423,189.969687071827,193.740199442663,196.249421569645,197.659738412855,200.487727556247
127.104102504315,108.782349151479,110.468428011943,114.591079199274,117.372124329797,119.407298525994,120.495759142188,122.635463152356,122.231006495217,121.510019347107,115.18932591097,98.7893335783188,94.0499607787541,87.7839856041209,85.2678302404982,69.163530262575,153.693256715681,128.556628167595,129.921963934462,132.880226073007,134.794505464844,136.078985838765,136.826736336388,138.128944987242,174.421992148104,138.700160800704,138.186169266695,139.569038706831,140.444233944621,140.974254009624,141.252017411475,141.847960942468,111.288763975316,95.5555627495129,93.2528985600894,88.145923215575,87.7760807066866,86.0402158798646,85.5189487826697,79.2903147752832,111.229248027309,100.02662743198,101.771886326991,106.142916557147,109.57189144006,112.136433478378,113.650451548935,116.526399551947,143.618503697775,106.753697915869,108.335747583861,112.547396892902,115.333563070599,117.375441951658,118.453797321013,120.777984760839,129.717349417612,107.063648913978,103.785708883824,96.383126618952,94.9013321332989,92.2675144334912,91.3646072139404,83.3050707754364,136.606940071148,115.029878824019,111.115944053051,102.210648438495,99.6427693618667,96.2354052497466,94.8843383768684,86.1392464593288,157.374821340465,120.882868250064,122.732772681539,126.646374098712,129.16008763992,130.831693827857,131.777268503523,133.658517180474
95.3192910472356,81.5778623126332,82.8494576464402,85.9450822973793,88.0293511743671,89.5558706453059,90.372367952521,91.974134640684,91.6717740895056,91.1300614342895,86.389892622363,74.0872113235067,70.5377215624917,65.8322619149833,63.9499224244826,51.887433215711,115.274834498322,96.4132298555423,97.4417025018282,99.6608460847349,101.095966410882,102.059863664895,102.620122175297,103.587142408306,130.791396282056,104.006011900103,103.635132193977,104.681047073606,105.333567174899,105.731741399246,105.939154367132,106.369137845076,83.465415818068,71.6410328663895,69.9302018453916,66.1094173912158,65.8344675712634,64.5258730244377,64.1384058481074,59.46208044659,83.4194697734933,75.0202047738024,76.3300106494723,79.6070503753897,82.1793076340927,84.1014617719608,85.236298341651,87.4027544178827,107.71142498736,80.0162728332983,81.2346913329576,84.4203409629335,86.5023791213153,88.0316554691755,88.8403052117685,90.5386315457304,97.288960398644,80.2972654841068,77.838992646213,72.2859781952431,71.1754798157635,69.1970002989232,68.523134917178,62.507121818766,102.454985391873,86.2369132420044,83.3101264135381,76.6441657562722,74.7209858939697,72.1358862012585,71.1558374870858,64.6432621640539,118.042142427479,90.602108604808,92.0378350178918,94.9971744293393,96.8733335249732,98.1021657869928,98.8315365036113,100.561429235453
76.262561705373,65.2694670185166,66.2813101594974,68.7546367310888,70.4232327300556,71.6443617594693,72.2978717352452,73.582031312306,73.3389808926336,72.9060997495626,69.1134478487135,59.2735606299957,56.4301015665689,52.6705687811201,51.1608149973323,41.4951737013004,92.2174578864828,77.1340946541163,77.9532345337018,79.7281352365056,80.8767071761414,81.6473931475997,82.0960751240508,82.8774333077811,104.653721865671,83.2210006135304,82.9116490050187,83.7412099808451,84.2665175025328,84.5846631660807,84.7513789840856,85.109290626186,66.7727840169195,57.3333952179313,55.9507898814668,52.8877672969973,52.6657003211787,51.6240591847929,51.3120641589634,47.5729488015882,66.740456658885,60.0160037378673,61.0631187793743,63.6858264975798,65.7431366394089,67.2817864648782,68.18904594843,69.9165452964656,86.170988306488,64.0563013295283,65.0009045303396,67.5274622218652,69.1999971129166,70.4252236426741,71.0724464904949,72.4592887233485,77.8304476194682,64.2389168275136,62.271353691491,57.8297253429491,56.9407151074724,55.3605319761394,54.8187890356997,49.9844834528875,81.9642856383956,69.0193484559042,66.6696154884557,61.3265684150195,59.7858150784199,57.741377499495,56.9323338797394,51.6785224649324,94.4261177141774,72.5306822924328,73.6397502308905,75.9874878461077,77.4960193746958,78.4989642482691,79.064364140193,80.1966404435585
63.5502347561181,54.3909454120343,55.2342025856866,57.2955369966542,58.6860578706831,59.7036478332048,60.2479102028584,61.3177157897273,61.1160650590539,60.7550186516456,57.5946853221037,49.3947722922978,47.0250056369804,43.8920284268326,42.6339270479624,34.5814773339065,76.8487276319115,64.2782096721094,64.9609931543071,66.4401242988368,67.3972530163361,68.0394956737245,68.4131668655218,69.0645238211178,87.2111291640844,69.3500539730683,69.0930888871611,69.7845048122079,70.2221183257784,70.4872100610833,70.6255593631388,70.9239988919165,55.6429915698074,47.7775498923492,46.6264372835808,44.0729839923119,43.8880425528415,43.0200156177629,42.7586162856658,39.6450511795215,55.6163425380243,50.0133445557975,50.885936220421,53.0714478891317,54.7859493524661,56.0681727630213,56.8245153571611,58.2632856168464,71.8083456616766,53.3769919664269,54.1678610602832,56.2736997420614,57.6667683842305,58.6877798172128,59.2245867263262,60.3888432259763,64.8593936184448,53.5317043233141,51.8928410549654,48.1915391144209,47.4506498950146,46.133793774884,45.6816266985199,41.6526157838483,68.3036290888447,57.5149106442574,55.5579690758091,51.1053061609156,49.8213646104002,48.1176629126303,47.4405443089219,43.069289896722,78.6893398448568,60.4411635259495,61.3664090379526,63.3232147688128,64.580053186655,65.4158443999785,65.8944656163209,66.8293843421387
54.4724121442826,46.621241666494,47.343575625406,49.1104150600285,50.3023162333953,51.1745209866314,51.6413997611905,52.5584288118608,52.3848670377131,52.0757366188303,49.3668374633569,42.3382728631621,40.3071430189536,37.6218155964557,36.5435100038443,29.6407414923613,65.8693706686601,55.0958307098094,55.6808439609953,56.9486664474269,57.7690754427426,58.3195664695474,58.6400696093028,59.1981949354223,74.7522733627934,59.443103181017,59.2226316184649,59.815289800098,60.1904804821702,60.4176024526907,60.5367012079926,60.7922695393422,47.6948948769623,40.952399684141,39.9655456801847,37.7769409795237,37.6183535713072,36.8743916493001,36.6515495917358,33.981008942715,47.670320792047,42.8687053173076,43.6165361054489,45.4898338092178,46.9594028509876,48.0584462346868,48.7063065699239,49.9401374255347,61.5504551188683,45.7525560955897,46.4295281079126,48.23453041939,49.4286016263769,50.3039016872417,50.7660415355072,51.7586356610549,55.5932745998382,45.8847962460569,44.4795754272979,41.3069798163135,40.6719730728685,39.543236978561,39.1563902180065,35.7029714542831,58.5457907469613,49.298878973416,47.6211434823329,43.8046343395527,42.7041773412186,41.24389985668,40.6660146361703,36.9154374591878,67.4471650473428,51.806930459082,52.599769464699,54.277020835284,55.3543191777739,56.0707188513725,56.4746047088649,57.2831545065313
47.6414812187883,40.7801545968188,41.4276179940818,42.9749608033799,44.0160646974943,44.778972461071,45.1867441188315,45.9742622107477,45.8289446333563,45.5653383104034,43.193941260163,37.0368649666704,35.2653828117427,32.9155718123915,31.9744537719537,25.9643281267382,57.6296245947846,48.2079373916057,48.7210246515905,49.8303983009636,50.5481243433264,51.0297794633688,51.3101380326186,51.7873368076259,65.41022990212,52.0112462149548,51.8199151856998,52.3385427152982,52.666635521824,52.8654342585839,52.9696183999555,53.1922805209852,41.7347350885602,35.8328648328104,34.9687789610395,33.0509129035198,32.9144364660076,32.2634205839535,32.0692425353994,29.7491862273423,41.6711974764334,37.4921895436629,38.1685081436235,39.8089634746165,41.0919795641952,42.0533680339211,42.6193616098133,43.7936747272325,53.8462134012732,40.0337559079493,40.6260979505346,42.2053600595043,43.250172798363,44.0159103312377,44.420409482564,45.2852440137682,48.6450445677677,40.1490319419672,38.9196648151608,36.1424889566459,35.5875404004133,34.5997068362195,34.2615616988664,31.2907222178768,51.2253801223219,43.1273382639205,41.6680621421458,38.3291183180924,37.3661130278893,36.088349404377,35.5826590869216,32.2984882207128,59.0087895774792,45.3312876441622,46.0247895619647,47.4923474204969,48.4350220760923,49.0618646900003,49.4152325035347,50.1234713943472
42.3679293020743,36.2608647498503,36.8227994539086,38.1970172499924,39.124036983381,39.8024414614898,40.1647091998294,40.8785320915997,40.7436536874613,40.5033403500135,38.3964363677883,32.9297376890517,31.3499756900474,29.2612838655811,28.4217524338648,23.0545508566578,51.2311180026838,42.8521889192566,43.3073232242425,44.293409273303,44.9315026611192,45.3596622823337,45.6089210503571,46.0430477773166,58.1406839821637,46.2335709299365,46.062043616167,46.5229994331251,46.8147411520535,46.9907728159157,47.0834779488276,47.2826508444649,37.0962740799371,31.8519300400359,31.0843181187116,29.3820137874051,29.2587152901387,28.6800459835654,28.5063350780948,26.4301031573839,37.0763499100552,33.3423131344764,33.9239527706427,35.3809593132133,36.5239660884427,37.3787973092733,37.8825858005756,38.8418511026635,47.8728161476891,35.5849519193901,36.1119091823356,37.5157907033104,38.4445134638036,39.1252963696919,39.4931095107557,40.2593441144156,43.2391277857303,35.6878494927733,34.5952351914194,32.1276953443902,31.6337771060447,30.7558692950748,30.4543210861227,27.768328978133,45.5356301931305,38.343759011168,37.0386797027901,34.0702932051155,33.2142848867173,32.0780055901831,31.6241807823242,28.7130140967486,52.4583251113451,40.2945609855348,40.9109091701815,42.2154419100571,43.0533584462354,43.6107157028208,43.9236977134456,44.5526360802943
38.1762911821208,32.6341320447448,33.1400988966432,34.3776453234301,35.2112333978368,35.8218561464102,36.1487461196718,36.7945396136927,36.676503848675,36.4525812845224,34.5581449732166,29.6454570324323,28.2173472260699,26.3375255764709,25.5805192544278,20.725390750404,46.0997765898201,38.5682303299531,38.9759728150996,39.8633215490553,40.4380316922157,40.8234298864969,41.047956789488,41.4264890305244,52.3254931523923,41.6099089525654,41.455868733177,41.8707449665118,42.1332752591774,42.292330035398,42.3776391505397,42.5539750904702,33.3925919826392,28.6671697427801,27.9752151656856,26.4457262509079,26.3324521079586,25.811827086824,25.6556783637676,23.7837004422426,33.4064758863031,30.0090627174865,30.5282386863293,31.8397205494322,32.8695346031216,33.6392321134687,34.0933401824787,34.9178305328483,43.1058554258321,32.02538000854,32.5004903359901,33.7641058649742,34.59988048813,35.2125125723739,35.5349893028492,36.2349502169976,38.9127352603839,32.1201447901365,31.1365347538533,28.9174855455098,28.4716443430018,27.6815743536024,27.4095280988193,24.9357039074966,40.9842285163918,34.5085306114804,33.3345445640952,30.6628269781003,29.892645256127,28.8704400089596,28.4628005584391,25.8430567551392,47.2056828411831,36.2654885345063,36.8194873682125,37.9935279720423,38.747881111157,39.249353947544,39.5334697529155,40.0923379868212
