V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32
72.12218637,59.96343931,27.69089264,10.09267091,6.951115478,1.896305264,1.522661412,1.295031728,2.602903441,1.195522794,2.018170148,1.648433181,1.706785108,1.484810058,1.5480963,1.603448701,145.5891518,88.98427632,44.90390827,11.49059623,3.327217115,1.867059792,0.874267776,1.08832987,267.382106,97.65498739,58.98662337,12.33265748,5.416075655,1.214273931,3.158828229,1.337746104
92.55279502,62.65986425,25.49382005,9.11551347,3.53388005,3.588748835,0.317687826,1.451352582,1.190852079,3.334004415,1.849905272,1.661602017,1.613758095,1.525367403,1.544146595,1.564519499,182.9084816,97.66252276,43.66855872,9.88700621,2.765102493,2.22151808,0.946143917,0.97756382,251.344745,127.5875881,73.07837824,12.89223483,0.422581962,4.549506544,1.072663187,1.119490088
87.62845569,63.35958559,29.52778603,8.741601953,4.132523051,1.992208498,1.407173322,0.697268492,2.060365707,2.110542731,2.221699363,1.685092611,1.582032284,1.505821225,1.450060101,1.576719448,214.0858095,77.52450715,39.42894289,10.72116015,2.703108785,2.227844606,2.270262566,0.562986149,339.8186683,166.4122286,48.86868447,14.66653698,4.684239588,3.349243452,2.644012912,1.514432721
103.0982037,47.19867392,27.52162067,12.90386719,4.241912772,2.531308576,2.950970912,0.819890258,1.067963832,2.928679761,1.997999791,1.725820998,1.669647792,1.606290126,1.589006631,1.551588926,166.5066801,91.80208011,42.01041698,12.3021471,2.995689725,2.284034087,0.972818147,0.580476665,200.1130113,146.4744201,61.47982022,11.43774543,1.291948258,2.692811918,1.355762751,0.578664666
101.5863985,59.76082923,31.24434921,9.718187831,4.201543907,3.345980349,3.046130008,0.593419116,2.856191843,2.066164447,2.046149402,1.616238843,1.618464736,1.652730662,1.61264301,1.536422499,199.4509897,88.54551632,42.16023969,12.39139359,5.114991071,2.67950608,0.821832842,0.645872128,250.1480842,159.3878715,57.84527448,17.7946334,3.951493685,1.061192563,2.819814748,0.508817759
103.0657936,70.42146822,28.11708711,11.85311389,4.069707376,2.463879279,1.716330005,0.870171307,2.303438373,4.204590688,1.877738161,1.633554318,1.570680704,1.634760159,1.464355849,1.555446373,134.6020284,82.19211908,45.62082647,10.99116174,4.556430589,3.134129847,0.326090178,0.693045052,303.3115167,69.12919751,62.09843673,14.41133069,3.991091088,1.23233495,1.279155193,2.437914009
66.18645324,58.36727694,31.21057286,10.82606092,2.179862556,3.589600007,2.790123671,0.809466383,1.946856663,2.974406344,1.872298922,1.707696417,1.656972231,1.645450997,1.519480971,1.547954775,215.2562072,85.76357336,44.06545983,10.31550759,2.439679081,1.608090434,0.763644905,1.117341877,210.4869581,162.8041328,58.38584113,7.286333743,1.373330494,0.579599594,4.78118634,1.174494442
104.6872788,67.84436641,27.39480542,10.0092435,5.095888871,2.15895155,1.347745938,0.548865748,3.151420178,2.722313816,1.953122732,1.73747123,1.762170216,1.56376116,1.613955948,1.496608407,179.6403553,98.72623015,42.00567739,11.08371905,3.172031086,2.147774539,0.173843529,0.916523668,218.4422712,99.49831466,55.07563152,13.65141015,12.07985461,1.287463722,0.958766739,0.739508679
111.3186531,50.93736836,27.73839855,11.0814629,3.413846575,2.800751804,2.43253716,0.949468844,4.07134348,2.145569683,2.041834636,1.599838411,1.579954972,1.588928633,1.479185612,1.5845364,142.7415122,98.29268559,42.5268479,11.38612871,3.273843221,1.782185026,1.669679392,1.166647213,201.3025444,133.5029318,59.58412878,7.896417715,4.537435072,5.000125154,2.039108558,0.965445776
82.25884345,55.26137147,28.45847541,10.12304286,4.589621888,2.879971323,1.263601877,1.712419184,0.681392622,2.756934946,1.955677887,1.617230077,1.615947949,1.646818215,1.555233091,1.569961016,140.0886567,79.3407151,43.42898517,12.685376,3.321796503,2.188807122,0.889193902,0.626453016,266.3531069,123.7885054,57.28453729,13.8741386,2.135424769,0.717540653,2.961851703,0.941496155
