p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
661768983.13088,1515005148.36919,1694589064.59606,1895984165.23391,2893958460.94698,2021585485.49274,2247866227.80538,3632019694.92442,1159197322.92786,1085382578.84434
661768983.13088,1514489982.26446,1694589064.59606,1802889691.3308,2893958460.94698,1643844255.36885,2246072302.47735,3632019694.92442,1159197322.92786,1082367860.94814
661768983.13088,1514489982.26446,1691922567.61892,1802889691.3308,2893958460.94698,1643184689.77584,2246036525.41782,3628347197.41759,1159197322.92786,1081745074.96016
559070073.858865,1513468080.39264,1592598251.78495,1802889691.3308,2893958460.94698,1643184689.77584,2246036525.41782,3628347197.41759,1159194589.92304,1081199290.26918
559070073.858865,1470097414.12733,1592598251.78495,1802889691.3308,2886210668.4253,1643184689.77584,2246036525.41782,3628295159.28841,1159194589.92304,1069444892.36609
559070073.858865,1222268227.19336,1592598251.78495,1761061800.04469,2886210668.4253,1643184689.77584,2218990813.11331,3628295159.28841,1040116331.21173,872438797.026597
559070073.858865,1211258963.30412,1592598251.78495,1761061800.04469,2810052455.99485,1605699143.68018,2218990813.11331,3297632801.1075,987260260.68862,872094768.000424
559070073.858865,1211258963.30412,1592598251.78495,1761061800.04469,2808244461.60196,1605699143.68018,2187087591.29601,3297632801.1075,984831782.173501,871553301.380275
557832135.225919,1211258963.30412,1583510679.57425,1695151405.17995,2805640226.43685,1563324490.93604,2187087591.29601,3233437171.19147,868799077.337052,871553301.380275
525507825.52425,1211258963.30412,1573543972.63772,1695151405.17995,2798482017.70903,1561760342.41597,2187087591.29601,3027669474.57603,868799077.337052,871553301.380275
525507825.52425,1211258963.30412,1514998736.85173,1553038757.24007,2797969743.17552,1561760342.41597,2186234157.11877,3027669474.57603,859155373.29928,756726990.621518
525230447.916418,1209768897.73119,1514998736.85173,1552799452.05482,2797902966.87114,1561760342.41597,2186234157.11877,3027669474.57603,846229460.434055,756726990.621518
491026176.880234,1192892548.03702,1513819061.68907,1552785550.39972,2748113701.86635,1561760342.41597,2186234157.11877,3027464796.13826,846229460.434055,756726990.621518
491019102.104735,1192871892.91993,1511524529.91011,1552785550.39972,2702823810.37921,1561760342.41597,2168605511.54079,3027342808.49797,846229460.434055,756726990.621518
491019102.104735,1192871892.91993,1511524529.91011,1552785550.39972,2605276143.47611,1561760342.41597,2119491792.40741,3000839120.57582,846051517.853635,755597442.259283
491019102.104735,1109517891.08203,1509777578.47897,1550100162.55371,2605276143.47611,1561760342.41597,2118686513.91848,3000839120.57582,846051517.853635,755597442.259283
491019102.104735,1108669635.0924,1509777578.47897,1549757977.81336,2603897300.05453,1531340332.33505,2118543159.37453,2806888428.19134,846051517.853635,672439509.725746
