"","b1","b2","b3","b4","b5","b6","b7","b8","b9","b10","b11","b12","b13","b14","b15","b16","b17","b18","b19","b20","b21","b22","b23","b24","b25","b26","b27","b28","b29","b30","b31","b32"
"$w_1$",0.820064005598041,0.0226403255571654,0.00931894797355323,0.00477656926869393,0.0142339605440341,0.0130627015040249,0.0350059546587551,0.00410668564003188,0.178318149034623,0.00785096486782602,0.00359639752607088,0.000764777392911757,0.00178727351721051,0.00181408910989759,0.00557415360807673,0.000810846137370163,0.818069780791049,0.0184352057139719,0.00849048471941003,0.00401508639278325,0.00953299033276585,0.00791060044006923,0.0204336788179369,0.00300964214717815,1.68442235429745,0.0348122539093358,0.0189747904202423,0.00762680555005414,0.0180739397977825,0.0156640097390269,0.0412471509351004,0.00509351807196777
"$w_2$",0.0644395995481215,0.0255435391810384,0.00763050239250144,0.00330356659662265,0.00369029447913356,0.00264300335694284,0.00299322490661444,0.00119155827325868,0.0129980634403541,0.00923588230326219,0.00266765742218576,0.000633320204700398,0.000609210484904458,0.000497711501697114,0.000653611836056664,0.000297290386510822,0.0658425688111449,0.0212095503277767,0.00636878623930579,0.00254084946462216,0.0022860235954278,0.0014336948257949,0.0014914632376458,0.000602470449168511,0.138325148923478,0.0414132638359398,0.0134792100372053,0.0048698547353412,0.00444530767051226,0.00300465639349554,0.0033379448340115,0.00136500577873475
"$w_3$",0.024830702604577,0.0254141611052672,0.00779945775666583,0.00330356659663459,0.00369029447913516,0.00264300335694294,0.00299322490661458,0.00119155827325857,0.00427537316324933,0.00943084514991978,0.00271930443451769,0.000633320204700431,0.000609210484904462,0.000497711501697116,0.000653611836056673,0.000297290386510819,0.0258487115678783,0.0208591288408053,0.00655673865542574,0.00254084946462291,0.00228602359542785,0.00143369482579494,0.00149146323764586,0.000602470449168513,0.054727191347292,0.0406457877572779,0.0139227327764357,0.00486985473534277,0.004445307670508,0.00300465639349582,0.00333794483401178,0.00136500577873447
