b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32
1220.86564199427,-67.1019927304027,-8.32442855271729,-3.51633415401898,-1.06945322846098,-0.392245215561281,-0.166540734587861,-0.170628090253486,2.32910663278987e-09,-1.90328376676256e-10,-1.56521771645105e-11,-7.98649062884306e-12,-6.02981683930735e-12,-3.9032961924346e-12,5.92056610078524e-12,-9.19108828267983e-13,1.83998197630453e-08,-2.71075916099672e-09,-1.52345981222022e-09,1.07597795075593e-10,5.85160456780396e-10,4.77051121012346e-10,1.21403111119326e-09,-1.07918710888427e-10,-1.87187682715888e-08,-9.86239747961899e-09,1.30545491423193e-09,1.17188840407198e-09,-1.82913185435425e-09,-1.20405089150999e-09,-2.16651964296029e-09,2.27285586965406e-09
-67.1019927304026,191.833454449596,-8.32442855209596,-3.51633415418081,-1.06945322843735,-0.392245215588262,-0.16654073391355,-0.170628090567777,-4.30750431618387e-10,-1.58051202528119e-10,4.76603026339111e-11,1.49595488782134e-12,-6.2711574865486e-13,-6.85570112099589e-13,3.31213354259868e-12,-4.55343947349648e-14,2.4177489039525e-09,-3.8377809599465e-10,1.59360277582186e-10,-2.21666904327307e-10,4.92387405093553e-11,3.05082861358901e-10,1.74010114216342e-10,-2.52458560044449e-11,3.6465152627678e-09,-2.12169443365946e-09,-2.29147538097829e-10,3.47891065665134e-10,-4.18265641930372e-10,-1.53144736661619e-10,-9.0632776729703e-10,4.81793787861303e-10
-8.32442855271732,-8.32442855209595,17.1186089710552,-3.51633415408681,-1.06945322836998,-0.392245215631851,-0.166540734761411,-0.170628090559066,-2.10349245852008e-10,-7.89613629553357e-11,1.19729880546942e-11,1.33186774718195e-12,3.63781855926958e-13,1.35437293299887e-14,-5.30924442857572e-13,3.34350096479489e-13,-1.50389049588936e-09,2.01455944947015e-10,8.5714995975554e-11,-3.53115089363044e-12,-6.25233691931734e-11,-2.79338652049251e-11,-1.36841139146239e-11,3.49846591726082e-12,6.0719364003708e-09,-5.57245065389985e-10,-2.31493053530455e-10,7.98527835479091e-11,-3.17634721774269e-11,1.65235949172628e-10,-5.85203856468155e-10,-4.90901195311445e-11
-3.51633415401891,-3.5163341541808,-3.51633415408681,3.20869426745887,-1.06945322830234,-0.392245215683365,-0.166540734712513,-0.170628090537312,-3.81601637210354e-11,1.42657092960919e-11,-5.6219793495848e-12,4.24141404276802e-13,2.65468324391739e-13,3.41306747448368e-13,-1.03417726034352e-12,1.06161493940935e-13,-1.36940269872431e-09,1.92661531741767e-10,1.02019270571679e-11,4.69472328758051e-11,-4.23492099967135e-11,-7.02264709844054e-11,-8.39057361244745e-11,7.87189151099633e-12,1.73788314786662e-10,-2.74385195291306e-10,-2.30575616410128e-10,6.82147104657498e-11,-5.19024327698019e-11,1.19730147172865e-10,-1.45682878351549e-10,-5.23118460069007e-11
-1.06945322846098,-1.06945322843735,-1.06945322836999,-1.06945322830234,4.00390950364048,-0.392245215702164,-0.16654073454042,-0.170628090494396,1.13854533773912e-10,-4.28185388431211e-11,4.83585137804204e-13,-5.00213682252403e-14,-2.46773964571156e-13,-2.798803796371e-13,7.84252229236889e-13,-1.87132677122619e-14,6.3645108291127e-10,-8.04306145368847e-11,6.12315885119667e-11,-4.97598556163769e-11,2.57107728754208e-11,-2.05160633592049e-12,8.8731643125755e-11,-5.1295054155357e-12,1.68851227116733e-09,7.63116474567577e-10,3.34619244052744e-10,-1.35444471208961e-10,-1.36374217888047e-10,6.14461503125386e-11,4.95295617139277e-10,-8.30192474329635e-11
-0.392245215561322,-0.392245215588261,-0.392245215631849,-0.392245215683365,-0.392245215702164,2.05379756908735,-0.166540734447806,-0.170628090515282,1.62856319691157e-10,9.99023611213292e-11,-1.41103741306112e-11,-1.62280134801977e-12,-1.49019808814807e-13,-7.74152427638285e-14,6.15732929340709e-14,-1.44642715648192e-13,5.89834011452042e-10,-5.90861121139811e-11,-7.59753857705926e-11,2.19247463777259e-11,3.24971816211965e-11,1.28884492512853e-11,-6.16232413791961e-11,2.93757953668667e-12,-8.59757733993869e-09,1.65907588480033e-09,3.01633512332743e-11,-1.11199435774058e-10,4.1986733343619e-10,-3.67191941036784e-10,4.72209156850008e-10,-6.18490492820064e-11
-0.166540734587866,-0.166540733913548,-0.166540734761409,-0.166540734712513,-0.16654073454042,-0.166540734447806,2.63415245402472,-0.170628090393317,3.06387981002716e-10,1.75348136080979e-10,-8.63609459474878e-12,-2.90506596401919e-12,-4.58789402135631e-13,-1.65013845720462e-13,1.83599422876296e-12,-1.11184345455752e-12,5.87758188885611e-09,-7.47344402269442e-10,-1.44058899634177e-10,-1.07139223137946e-10,2.24088504720242e-10,1.73624626805088e-10,1.50946645719455e-10,-2.36441469796438e-11,-3.63814385641536e-09,8.21459818995459e-10,1.79434981319793e-10,-2.84214219224594e-10,3.979441996438e-10,-2.26419074762778e-10,9.28377236526338e-10,1.6789072103095e-10
-0.17062809025349,-0.170628090567777,-0.170628090559064,-0.170628090537312,-0.170628090494396,-0.170628090515282,-0.170628090393317,0.417438766837396,-6.43635425103034e-11,-3.03282885775089e-11,6.53096124871112e-12,3.54172986690697e-13,-1.02493657710939e-13,-7.58399366247412e-14,3.52547541760958e-13,4.67362727173078e-14,4.50846301998814e-11,-3.18977365708851e-11,-6.39668880454791e-12,-4.41693975595684e-12,-8.54672410833438e-12,3.08081585108286e-11,2.80465892970995e-11,-1.97297428145338e-12,7.30382465423957e-10,-6.39121044029041e-10,1.47775147299172e-10,4.51582434182712e-11,-1.20464976257956e-10,2.31987507341977e-11,-1.84466801840353e-10,5.68604346567683e-11
2.32910663278987e-09,-4.30750431618386e-10,-2.10349245852008e-10,-3.81601637210356e-11,1.13854533773912e-10,1.62856319691157e-10,3.06387981002716e-10,-6.43635425103034e-11,4.78044419279866,0.34727101798529,-0.269632698311914,-0.0137482943780925,-0.00227048618704541,-0.00101338513588458,-0.000596871423732568,-0.00144765791189221,3.58119973057912e-09,-5.37744351149989e-10,-1.10716261454006e-12,-1.73535854222364e-10,1.19599561824971e-10,2.7283423611524e-10,2.08611920245053e-10,-2.67588317378066e-11,-5.52335534113571e-09,1.79931192827823e-09,1.16327399006908e-09,-6.3475680427828e-10,7.25462571110634e-10,-1.99442572827639e-10,1.25034385299065e-09,-1.64801787153555e-10
-1.90328376676255e-10,-1.58051202528119e-10,-7.89613629553356e-11,1.42657092960918e-11,-4.28185388431211e-11,9.99023611213291e-11,1.75348136080979e-10,-3.03282885775088e-11,0.347271017985289,2.41361350796035,-0.269632698327562,-0.013748294379439,-0.0022704861869591,-0.00101338513681731,-0.000596871425364769,-0.00144765791148599,2.17739133445011e-09,-2.8355285645374e-10,2.33452086666335e-11,-8.72358376698293e-11,8.37773567162399e-11,6.53141583205013e-11,1.327242139089e-10,-1.14338328098696e-11,-2.93446322853109e-09,1.11219649596205e-09,8.1573330771655e-10,-2.44373658758237e-10,-8.34858686690906e-11,-3.07492519821765e-11,7.24615457488192e-10,-9.02475793780158e-11
