b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16
0.734794527306992,-0.655763257821779,-0.71409085633967,-0.831462818228861,1.48307838696956e-08,-1.47599358664783e-08,1.50861337404873e-08,1.43043781108978e-08,-1.33670198532229e-05,-1.34227173105832e-05,1.3346675657895e-05,-1.31070965925453e-05,-7.19276324255823e-07,-5.81768799349853e-07,-6.94365029205235e-07,6.73058760271089e-07
-0.655763257821779,0.599505140856964,0.642488360485975,0.71945211495612,-1.97978013902755e-08,1.97192381485197e-08,-2.0114309261974e-08,-1.91785723102857e-08,1.20102068583866e-05,1.20598177968102e-05,-1.19915842335874e-05,1.17758538545748e-05,6.38913443439071e-07,5.16688227281483e-07,6.1708128465737e-07,-5.97961775973409e-07
-0.714090856339668,0.642488360485972,0.848136888125027,0.549981928815562,-3.87263311311877e-08,3.86066694586545e-08,-3.92906707040007e-08,-3.76949409949709e-08,1.31308152930263e-05,1.31843152754472e-05,-1.31095106625037e-05,1.28721505896275e-05,5.87593336386549e-07,4.75133328895404e-07,5.69870574694877e-07,-5.50874663678763e-07
-0.831462818228865,0.719452114956123,0.549981928815568,1.39762541356856,3.09750167005313e-08,-3.09536823591872e-08,3.1310654177078e-08,3.05399836253304e-08,1.48554936480725e-05,1.4919907893422e-05,-1.48354693402219e-05,1.45730936503624e-05,1.00477947187066e-06,8.12990396390724e-07,9.65279591665681e-07,-9.38376802044803e-07
1.48307838696967e-08,-1.97978013902764e-08,-3.87263311311885e-08,3.09750167005294e-08,13.2642566458111,-13.2305826135726,13.4444581484139,12.9510206580697,-1.55152506188254e-05,-1.54187050954943e-05,1.53735621544308e-05,-1.49397375395805e-05,-1.26050512919672e-06,-1.02086221406974e-06,-1.24817451137499e-06,1.19251006756834e-06
-1.47599358664795e-08,1.97192381485207e-08,3.86066694586553e-08,-3.09536823591852e-08,-13.2305826135726,13.1979486496932,-13.4116748868653,-12.9205054185206,1.54759797750707e-05,1.53796697755337e-05,-1.53346422478518e-05,1.49019047860528e-05,1.2574122484512e-06,1.0183578307165e-06,1.24511246192144e-06,-1.18958436651384e-06
1.50861337404884e-08,-2.01143092619749e-08,-3.92906707040013e-08,3.13106541770758e-08,13.4444581484138,-13.4116748868653,13.634185247364,13.1260456002701,-1.57312307448963e-05,-1.56333552828039e-05,1.55875827987576e-05,-1.51477377741128e-05,-1.2782275331325e-06,-1.03523103438002e-06,-1.26574470045883e-06,1.20928852008397e-06
1.4304378110899e-08,-1.91785723102867e-08,-3.76949409949718e-08,3.05399836253287e-08,12.9510206580697,-12.9205054185207,13.1260456002702,12.655002010521,-1.51447782384845e-05,-1.50504912589859e-05,1.50064318398302e-05,-1.45829074473354e-05,-1.2306331713638e-06,-9.96658129269359e-07,-1.21857929583338e-06,1.16424072489146e-06
-1.33670198532229e-05,1.20102068583866e-05,1.31308152930264e-05,1.48554936480724e-05,-1.55152506188254e-05,1.54759797750706e-05,-1.57312307448963e-05,-1.51447782384844e-05,6.16692874344509,6.12030731665589,-6.10790849937039,5.93400106430015,7.92080763794288e-06,6.07245408267978e-06,7.0257161731947e-06,-7.0865332886383e-06
-1.34227173105832e-05,1.20598177968102e-05,1.31843152754472e-05,1.49199078934219e-05,-1.54187050954942e-05,1.53796697755336e-05,-1.56333552828039e-05,-1.50504912589858e-05,6.12030731665588,6.14719954759624,-6.10568816036625,5.98502505144061,8.06197148078965e-06,6.18803757648313e-06,7.16453592500303e-06,-7.21996957675771e-06
1.3346675657895e-05,-1.19915842335874e-05,-1.31095106625037e-05,-1.48354693402218e-05,1.53735621544308e-05,-1.53346422478517e-05,1.55875827987576e-05,1.500643183983e-05,-6.10790849937038,-6.10568816036625,6.08258138801074,-5.95345908727864,-7.98948492388499e-06,-6.13051241540006e-06,-7.09607357166075e-06,7.15299800998897e-06
-1.31070965925453e-05,1.17758538545748e-05,1.28721505896275e-05,1.45730936503623e-05,-1.49397375395804e-05,1.49019047860527e-05,-1.51477377741128e-05,-1.45829074473352e-05,5.93400106430013,5.98502505144061,-5.95345908727863,5.89045151984076,7.95495863042881e-06,6.11118653152252e-06,7.07757506665064e-06,-7.12860150800048e-06
-7.19276324255826e-07,6.38913443439073e-07,5.87593336386554e-07,1.00477947187066e-06,-1.26050512919671e-06,1.2574122484512e-06,-1.2782275331325e-06,-1.23063317136379e-06,7.92080763794285e-06,8.06197148078965e-06,-7.98948492388497e-06,7.9549586304288e-06,1.82729667445691,1.31968614835409,1.56053360520219,-1.59252890948631
-5.81768799349854e-07,5.16688227281484e-07,4.75133328895407e-07,8.12990396390722e-07,-1.02086221406974e-06,1.01835783071649e-06,-1.03523103438002e-06,-9.96658129269349e-07,6.07245408267975e-06,6.18803757648311e-06,-6.13051241540003e-06,6.1111865315225e-06,1.31968614835409,1.13934581608967,1.32245306346093,-1.27045331696115
-6.94365029205236e-07,6.17081284657371e-07,5.6987057469488e-07,9.65279591665678e-07,-1.24817451137499e-06,1.24511246192143e-06,-1.26574470045883e-06,-1.21857929583337e-06,7.02571617319466e-06,7.164535925003e-06,-7.09607357166072e-06,7.07757506665061e-06,1.56053360520218,1.32245306346093,1.63275311808635,-1.52473674958707
6.73058760271091e-07,-5.9796177597341e-07,-5.50874663678767e-07,-9.38376802044801e-07,1.19251006756834e-06,-1.18958436651384e-06,1.20928852008397e-06,1.16424072489145e-06,-7.08653328863827e-06,-7.21996957675769e-06,7.15299800998894e-06,-7.12860150800047e-06,-1.59252890948631,-1.27045331696116,-1.52473674958707,1.48250821721733
