p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
22907539.8781842,52590503.412342,119786506.706412,129487669.763025,109348012.83173,100189443.106275,63860251.9450176,200332952.241263,62394218.9364664,43248859.682993
22907539.8781842,52590503.412342,55927605.9034982,129487669.763025,89398071.2275713,100189443.106275,63860251.9450176,200324638.230646,62394218.9364664,43027301.6554933
22907539.8781842,52563846.343284,55927605.9034982,129487669.763025,88675600.3865147,100189443.106275,63810364.0498299,199604875.417973,62394218.9364664,42968638.6158078
22541243.2181691,52563846.343284,55927605.9034982,129465221.321549,88675600.3865147,98568485.2589899,61985251.1159724,199604875.417973,31234343.4620314,42693602.3350392
22539821.8200797,52563846.343284,36354912.8428059,129465221.321549,88675600.3865147,91682017.3318747,61422483.0567701,199604875.417973,31234343.4620314,42693602.3350392
22539821.8200797,52563846.343284,25241348.8381621,50152754.9375818,88675600.3865147,91682017.3318747,61422483.0567701,199250534.786838,31234343.4620314,42693602.3350392
22539821.8200797,52563846.343284,24682853.152333,50152754.9375818,37727388.3163475,91676408.600127,61361910.1943596,167959456.878865,31234343.4620314,41354799.9985545
22539821.8200797,18032524.4021918,24682853.152333,50152754.9375818,37727388.3163475,91676408.600127,61361910.1943596,167959456.878865,31234343.4620314,41222003.9152242
14711175.5131088,15585028.2182951,24647547.7600929,50152754.9375818,37697727.280098,91663462.9723321,45767592.8641181,167959456.878865,23202849.4033619,41222003.9152242
14711175.5131088,15585028.2182951,24635260.9326543,50152754.9375818,37697727.280098,91612290.1988043,16389487.9838604,157057674.958652,23202849.4033619,25884103.0222127
14657045.5164196,15585028.2182951,24367780.1733058,50152754.9375818,37697727.280098,67488103.126579,15222398.2217314,157004691.675166,23202849.4033619,25829791.9892375
14657045.5164196,15585028.2182951,24357502.1294201,50152754.9375818,37697727.280098,67466104.5217057,15222398.2217314,156784876.030757,22849634.8147623,23520909.9334358
14657045.5164196,15557890.8670094,24357502.1294201,50152754.9375818,37697727.280098,67466104.5217057,15212469.6645777,156784876.030757,22431949.6325337,23520909.9334358
13511279.7129993,15557890.8670094,24357502.1294201,50152754.9375818,37688441.2319966,67466104.5217057,15212469.6645777,156784876.030757,22431949.6325337,23450627.5412651
13429438.3049623,15521372.2918648,22854935.7319491,50152754.9375818,37672018.7827932,67464679.1737679,15044051.1331285,156784876.030757,21729453.1314519,23450627.5412651
11501094.3042774,15503091.5219218,22854935.7319491,43014459.677194,37672018.7827932,66691877.6788852,15037939.7598919,156670699.116084,17003964.5033042,23444240.4132899
11501094.3042774,15070980.2299798,22854935.7319491,39835225.3590337,37664928.1775372,66691877.6788852,15037939.7598919,95094726.3463,17003964.5033042,21885119.4337009
11094137.4711165,15070980.2299798,22854935.7319491,39773104.2534413,34974866.1808082,45806836.2101613,15014904.0212844,95094726.3463,17003964.5033042,21885119.4337009
11094137.4711165,15070980.2299798,22854935.7319491,39391657.2735237,34974866.1808082,45806836.2101613,15014904.0212844,95094726.3463,16985196.7990277,21496045.8518612
11094137.4711165,15070980.2299798,22854935.7319491,39391657.2735237,34898646.8787953,45806836.2101613,15014904.0212844,94883212.5073526,15578979.0171677,21496045.8518612
11024236.5189071,9391784.74505819,22849006.5641896,39391657.2735237,34898646.8787953,45806836.2101613,15014904.0212844,94876685.1312609,15445902.2188808,21417101.5841368
9741760.09231454,9362456.9624714,22849006.5641896,39391657.2735237,34359733.1918192,45806836.2101613,15014904.0212844,94876685.1312609,15445902.2188808,19715370.5499393
9338355.92443728,9362456.9624714,22821877.2740028,33477846.7724876,34359733.1918192,45806836.2101613,15014904.0212844,94876685.1312609,14945931.7515717,19715370.5499393
9338355.92443728,9362456.9624714,22821877.2740028,33477846.7724876,33308961.3082386,45806836.2101613,15007903.3009031,94876685.1312609,14840499.000666,18794204.4242916
