"","b1","b2","b3","b4","b5","b6","b7","b8","b9","b10","b11","b12","b13","b14","b15","b16","b17","b18","b19","b20","b21","b22","b23","b24","b25","b26","b27","b28","b29","b30","b31","b32","b33","b34","b35","b36","b37","b38","b39","b40","b41","b42","b43","b44","b45","b46","b47","b48","b49","b50","b51","b52","b53","b54","b55","b56","b57","b58","b59","b60","b61","b62","b63","b64","b65","b66","b67","b68","b69","b70","b71","b72","b73","b74","b75","b76","b77","b78","b79","b80"
"b1",7.47456509522365e-05,-2.28400606845052e-06,-1.43746609547187e-06,-1.54778750148724e-06,-1.24172334764806e-06,-1.20380785907217e-06,-9.10495683237573e-07,-1.32730886511458e-06,5.39599977578014e-09,1.31115062244913e-09,2.34512701463678e-09,1.87432254219742e-09,1.09064594840271e-09,1.72569349657146e-09,1.58596240378034e-09,1.67368796238519e-09,9.53631639667484e-07,4.0230614295863e-07,2.9629394388044e-07,3.13542814700958e-07,2.44730824605821e-07,1.53806405857158e-07,2.498705271095e-07,3.03618628479208e-07,9.94537184601136e-07,4.87317343274096e-07,3.33001850491291e-07,3.48417674503038e-07,3.65349425124107e-07,3.84544417462311e-07,1.5558884831949e-07,2.90883820140382e-07,-1.42589391982437e-08,-8.04727842508061e-09,-4.6657235283178e-09,-4.20054460864783e-09,-3.68195801539168e-09,-3.07156241393276e-09,-2.11884829919056e-09,-5.07445182363788e-09,-4.64046401538195e-06,-1.03138389838468e-06,-6.94825347621554e-07,-7.18001726891933e-07,-5.30382760554463e-07,-4.77127615261592e-07,-2.4734313906637e-07,-3.17951562225421e-07,-6.8470558867449e-06,-1.60655318998272e-06,-1.07887398613876e-06,-1.13886066588512e-06,-8.45648286756437e-07,-7.77345514284672e-07,-5.9764440377483e-07,-8.90665782193896e-07,6.86801401044038e-09,2.74726433738651e-09,3.29859802753892e-09,2.75417628611958e-09,1.70908450042303e-09,2.45996745707074e-09,2.60927952123299e-09,3.87640998505806e-09,5.83315150171625e-09,1.95716052180988e-09,2.6489178652049e-09,2.16569338530583e-09,1.32229460860482e-09,2.22849689690979e-09,1.82563350167248e-09,2.21809453793991e-09,9.62365395268216e-07,4.25279877827611e-07,3.04628007924896e-07,3.22278640372865e-07,2.77178460522014e-07,2.14361573432596e-07,2.25042054119696e-07,2.92111097211886e-07
"b2",-2.28400606845052e-06,0.00019343937556699,-6.00077077821633e-06,-6.46300049748188e-06,-5.183384063131e-06,-5.02259923597176e-06,-3.78824412612329e-06,-5.53326883999553e-06,2.12301732069244e-09,3.60167348784711e-09,4.20155294804375e-09,4.76407402297777e-09,3.06773486142696e-09,5.75946564472427e-09,5.66450050271799e-09,5.24861811066745e-09,3.4738995182397e-07,8.03356994376416e-07,6.08576059954419e-07,6.52867411172486e-07,5.00517315272934e-07,3.26460165995942e-07,8.46244425392772e-07,9.15411041841927e-07,5.12940800389396e-07,1.6580995038945e-06,8.36844777268649e-07,9.43950733362236e-07,1.17426111877964e-06,1.31972343371556e-06,4.97102468073784e-07,8.60515400695108e-07,-1.92497703132886e-09,-1.2410541348119e-07,-2.48104475776773e-08,-2.03512188043364e-08,-1.65326665457326e-08,-1.40088993052649e-08,-9.51652295308541e-09,-2.27917477662017e-08,-1.26480643860292e-06,-1.62596868459732e-05,-3.16801003843655e-06,-3.2901492591943e-06,-2.46167671292289e-06,-2.16598837364296e-06,-1.14796624090707e-06,-1.56756746826818e-06,-1.94145285721715e-06,-2.31434393013252e-05,-4.60810840284237e-06,-4.86324417991356e-06,-3.61482809308114e-06,-3.31923996453619e-06,-2.52824619222209e-06,-3.80718275692514e-06,2.66627065688318e-09,6.46589498045752e-09,6.26269841639966e-09,6.73552105584645e-09,4.38049993799044e-09,7.66240958612234e-09,9.15269467464738e-09,1.14849519180004e-08,2.3713317969963e-09,5.80073673164745e-09,5.17587311719799e-09,5.76541823167157e-09,4.01544620406432e-09,7.74219495560497e-09,6.67938860665817e-09,6.99632602868131e-09,3.86557641479329e-07,1.03434551279561e-06,6.63822901713951e-07,7.25988583556818e-07,6.8044263402283e-07,5.80189821167587e-07,7.43482087231194e-07,8.38993781257274e-07
"b3",-1.43746609547187e-06,-6.00077077821634e-06,6.33827923647498e-05,-9.20303547744044e-06,-7.37731634428192e-06,-7.14639252046133e-06,-5.39155706913452e-06,-7.87803417248133e-06,2.62856992694455e-09,6.30084176963561e-09,7.31633774218754e-09,7.29575237438494e-09,4.66750308425643e-09,8.46537086687475e-09,8.23686898796618e-09,7.8120645047054e-09,2.58478182357041e-07,5.62009165889332e-07,1.02746015971467e-06,9.45195646859317e-07,7.28680578840354e-07,4.76489904139146e-07,1.20862990064627e-06,1.31021435844578e-06,2.76681389323034e-07,6.42874750920399e-07,7.30780384648339e-07,8.18945591652207e-07,1.30386908402106e-06,1.57286821798098e-06,5.55221345931053e-07,8.69876626366059e-07,-4.12220048088137e-10,-1.83094807150761e-08,-6.10540691868103e-08,-2.85073817107903e-08,-2.32788620368132e-08,-1.97077155087476e-08,-1.34162817891613e-08,-3.21199346256739e-08,-7.49352857096315e-07,-2.94055919910182e-06,-8.63635825369428e-06,-4.67826433313195e-06,-3.49681025549012e-06,-3.07534846120781e-06,-1.63166057410391e-06,-2.22707417479887e-06,-1.1571923938574e-06,-4.37672474210871e-06,-1.26030992290263e-05,-7.03570245456098e-06,-5.23340328019675e-06,-4.80375406529536e-06,-3.64368149813038e-06,-5.51541568401154e-06,3.06196544380374e-09,8.29104697588186e-09,1.07342451385607e-08,1.00962850511149e-08,6.51664902180228e-09,1.11627388302552e-08,1.31623356429874e-08,1.67494869915122e-08,2.80326458946749e-09,7.14698081868589e-09,8.22369028456638e-09,8.13660673765363e-09,5.5330287569165e-09,1.08016807158804e-08,9.35360039942992e-09,9.63120565661862e-09,2.63202680368688e-07,5.8386312714863e-07,9.5743099395108e-07,9.13503234854899e-07,8.83296312345552e-07,7.60930636433181e-07,1.02800811451274e-06,1.13657021901398e-06
"b4",-1.54778750148724e-06,-6.46300049748189e-06,-9.20303547744045e-06,0.000134253768629203,-9.57610053406998e-06,-9.2760255075953e-06,-6.99409074056825e-06,-1.0223817406602e-05,2.83525505961909e-09,6.80898209076412e-09,7.30297539393087e-09,9.26698156007962e-09,5.87973203466209e-09,1.07884190157695e-08,1.05577599023968e-08,9.89798622945955e-09,2.71108791293614e-07,5.75672685779574e-07,9.02114613957306e-07,1.12266786014571e-06,8.12840059259054e-07,5.37183038296549e-07,1.51860131190418e-06,1.61084802189247e-06,3.06076735379903e-07,7.1646806168658e-07,7.61883977983053e-07,1.04283694756063e-06,1.65612296979896e-06,2.01294150341469e-06,7.03869146303098e-07,1.09011346513104e-06,-4.38671290039485e-10,-1.96966097984443e-08,-3.34524946617529e-08,-4.95391303030191e-08,-3.03450951433658e-08,-2.57459623961162e-08,-1.75045262512071e-08,-4.19129738786919e-08,-8.09793886306807e-07,-3.18088084113702e-06,-4.9821261671367e-06,-8.7578758705439e-06,-4.60250051644773e-06,-4.03698947526127e-06,-2.1474324441959e-06,-2.95206764004467e-06,-1.24458741251066e-06,-4.7079719976013e-06,-7.3840334541658e-06,-1.28771208180397e-05,-6.80202576830377e-06,-6.24296162448198e-06,-4.73169751099063e-06,-7.16797131845245e-06,3.29165927454961e-09,8.84630458545267e-09,1.0310935757689e-08,1.26520776642043e-08,7.91368577541645e-09,1.39497577968722e-08,1.67082004227109e-08,2.0715241320942e-08,3.02730755652556e-09,7.75227438488449e-09,8.2249661603284e-09,1.04596088347396e-08,7.02170749959091e-09,1.38195754301785e-08,1.2016227490413e-08,1.22048166830158e-08,2.79752415339079e-07,6.13722033368081e-07,8.69373541637083e-07,1.10275549284293e-06,1.03836432319103e-06,9.17528635927504e-07,1.28924424510241e-06,1.38749074492845e-06
"b5",-1.24172334764806e-06,-5.183384063131e-06,-7.37731634428192e-06,-9.57610053406998e-06,0.000171846023199022,-9.83119322663199e-06,-7.40252487092559e-06,-1.08248598519873e-05,2.43088811606797e-09,6.01719776914319e-09,6.35446346732307e-09,7.87069405823788e-09,5.5117488996082e-09,1.07277307032313e-08,1.0721769119523e-08,9.60949581468644e-09,2.04826444968524e-07,4.21752430873315e-07,6.59603245920509e-07,7.5697951945297e-07,6.62801655840715e-07,4.10076564286816e-07,1.51544133219591e-06,1.53960633242983e-06,3.16184666695032e-07,8.16238522854269e-07,9.7603164093934e-07,1.39167739392084e-06,3.41465145138279e-06,2.54213467731179e-06,9.45799322046183e-07,1.62053017622176e-06,-1.92348633621964e-10,-1.52473283394049e-08,-2.63122038877759e-08,-2.70830531835822e-08,-7.09592277285113e-08,-2.78729293544813e-08,-1.88727876957615e-08,-4.5216817846032e-08,-6.54828074617363e-07,-2.56971969490515e-06,-4.02031378834994e-06,-5.05878338415381e-06,-1.30712329996772e-05,-4.36689893700833e-06,-2.32984509004182e-06,-3.24027828666048e-06,-9.86189603931717e-07,-3.71677007012889e-06,-5.85145954203065e-06,-7.34137181096633e-06,-1.81988477619746e-05,-6.50800545625725e-06,-4.94887493978507e-06,-7.46397376852514e-06,2.7824606990831e-09,7.50610857231484e-09,8.56757227665242e-09,1.01867484224438e-08,7.1635135302427e-09,1.3492053295932e-08,1.68620975188157e-08,1.96375115455711e-08,2.62151921323752e-09,7.09415545161481e-09,7.47475208821043e-09,9.34914787079234e-09,8.39646436004637e-09,1.46582359333965e-08,1.27572881019458e-08,1.29610991983241e-08,2.31198407815035e-07,5.28353809885702e-07,7.36252876023112e-07,9.16399045786317e-07,1.39229820990164e-06,9.4784564669338e-07,1.33300556128631e-06,1.40418674140745e-06
"b6",-1.20380785907217e-06,-5.02259923597176e-06,-7.14639252046132e-06,-9.2760255075953e-06,-9.83119322663198e-06,0.0012313166281851,-9.74326122895517e-06,-1.42513335124623e-05,3.566140568871e-09,1.00502848857717e-08,1.00612681748172e-08,1.30913455914495e-08,1.03121209553363e-08,2.74865166668099e-08,1.66075360958953e-08,1.72504040779576e-08,1.96092639146192e-07,4.06417083794461e-07,6.35371730767109e-07,7.26428471656836e-07,5.87133452670986e-07,3.49912699452807e-07,1.91554939883448e-06,1.8839862694696e-06,3.46246273507622e-07,9.30025896969702e-07,1.15570766571184e-06,1.6817166604109e-06,2.62169691784515e-06,7.36225199182574e-06,1.43006470753608e-06,2.56271334364789e-06,1.04816414627324e-09,-1.05521389012842e-08,-2.15491851811159e-08,-2.06717191165167e-08,-2.35571097279367e-08,-1.01818060129259e-07,-2.29923483636777e-08,-5.51903331298015e-08,-6.35849394495812e-07,-2.49105947984767e-06,-3.89596513190659e-06,-4.90324479188365e-06,-5.00377115499227e-06,-2.07963198084236e-05,-3.11588896413028e-06,-4.36479492163222e-06,-9.49163044319669e-07,-3.56747349838287e-06,-5.6293280730204e-06,-7.0422404336241e-06,-6.93408762689708e-06,-2.95028382472455e-05,-6.45955977437031e-06,-9.7112001869405e-06,3.93552250125929e-09,1.14698217934513e-08,1.22439961449801e-08,1.54463733888669e-08,1.174455389819e-08,3.28817518909965e-08,2.32608557210523e-08,2.83944309888541e-08,3.80693615145678e-09,1.1273066048359e-08,1.14258904191133e-08,1.49804081232376e-08,1.25341526566561e-08,3.88925475661345e-08,1.88663295710451e-08,2.21273064534912e-08,2.31528460790947e-07,5.47918748873451e-07,7.60951596947664e-07,9.66306613312301e-07,1.12607584359057e-06,2.13080566438644e-06,1.73005891241089e-06,1.79767082598666e-06
"b7",-9.10495683237574e-07,-3.7882441261233e-06,-5.39155706913453e-06,-6.99409074056826e-06,-7.40252487092559e-06,-9.74326122895518e-06,54.139508784755,-1.47198937524393e-05,3.93752368836447e-09,1.18862470196201e-08,1.16040492811197e-08,1.54867877718975e-08,1.24932635285294e-08,1.76201297468177e-08,5.86594941741101e-08,2.25748058048931e-08,2.03865719633298e-07,5.33778434805512e-07,8.40007611338385e-07,1.08144177146427e-06,-1.27634112185547e-05,1.22816199746525e-06,1.45140147814391e-05,3.42470180539015e-06,1.97343114254609e-07,4.96761631610817e-07,5.783007765899e-07,7.97923566111597e-07,1.42374762406292e-06,2.1268000234941e-06,3.17844128375889e-06,1.25557662118841e-06,2.05898713017474e-09,4.40186805019205e-08,-1.22049782344985e-08,-9.87424507164422e-09,-1.36823691645283e-08,-1.61398616246101e-08,-1.58544517839928e-07,-5.14525874126759e-08,-4.58517561440784e-07,-1.77463941058856e-06,-2.78828916196229e-06,-3.46411231405027e-06,-3.41624011604968e-06,-4.18433681860688e-06,-2.87958205465825e-05,-3.43392530853823e-06,-7.29726403934384e-07,-2.73622702854864e-06,-4.30156294770353e-06,-5.40741010754577e-06,-5.35118883782821e-06,-6.75022273816933e-06,-5.39874904299094e-05,-1.11854135527368e-05,4.3280045702509e-09,1.36858077794109e-08,1.38447854939188e-08,1.87356835509708e-08,1.56602858010926e-08,2.30866519386161e-08,1.19381838209451e-07,-1.04583586114996e-07,4.1268007148785e-09,1.13700637024851e-08,1.2401192023139e-08,1.66137055389449e-08,1.30253073998237e-08,2.08569081393383e-08,7.0722989591692e-08,2.4888445192048e-08,2.02689571464808e-07,5.27464618400203e-07,7.79056556871365e-07,1.01039549209778e-06,1.27043899349314e-06,1.45493828223358e-06,1.13171522254259e-05,2.92376710757187e-06
"b8",-1.32730886511458e-06,-5.53326883999553e-06,-7.87803417248133e-06,-1.0223817406602e-05,-1.08248598519873e-05,-1.42513335124623e-05,-1.47198937524393e-05,0.400807980575989,4.05905300642607e-09,1.14868792263568e-08,1.1518304047849e-08,1.49938021105047e-08,1.16566439728216e-08,1.86734235017654e-08,1.9829784647686e-08,2.29466914686831e-08,2.56555032467253e-07,6.00588258281465e-07,9.43531051491509e-07,1.16226962273946e-06,1.0345448781149e-06,1.05195948027012e-06,3.58627735952342e-06,7.23916266958852e-06,2.76364268241259e-07,6.78631742943246e-07,7.50047566343393e-07,1.0177885313728e-06,1.87364144789441e-06,2.83819239839529e-06,1.07001925814544e-06,1.35139025701807e-06,1.28489798632287e-09,-9.43059098628237e-09,-2.33272922434516e-08,-2.22102823043384e-08,-2.5685363494113e-08,-3.07487247202928e-08,-2.9594690340059e-08,-1.78237642693087e-07,-6.84667118693696e-07,-2.67306102527587e-06,-4.19323607926072e-06,-5.24622690117398e-06,-5.27373983240552e-06,-6.46747572279795e-06,-4.86616022715148e-06,-2.08073243162833e-05,-1.06486773348984e-06,-4.0147464660939e-06,-6.30279072567516e-06,-7.93478842933106e-06,-7.87236635333092e-06,-9.94995289311114e-06,-1.02826202332859e-05,-3.67972097500641e-05,4.52843481547423e-09,1.35960269378962e-08,1.47017256337036e-08,1.86185059205173e-08,1.46138858520495e-08,2.40567024370905e-08,3.36970984971636e-08,6.38794411396843e-08,4.28087042161222e-09,1.23629621996343e-08,1.24913186778762e-08,1.63029059318435e-08,1.30452779392093e-08,2.30337780572451e-08,2.26842162731714e-08,2.76790041089901e-08,2.61728039957086e-07,6.2174109881157e-07,8.9804977458498e-07,1.12610943056816e-06,1.35004213373516e-06,1.49976771548846e-06,2.88021010811601e-06,5.10758729681002e-06
"b9",5.39599977578014e-09,2.12301732069244e-09,2.62856992694455e-09,2.83525505961909e-09,2.43088811606797e-09,3.566140568871e-09,3.93752368836447e-09,4.05905300642607e-09,2.83787688392065e-06,-1.85444169278741e-08,-6.88242687699657e-08,-3.8644189486759e-08,-2.25900320541803e-08,-1.91705131626839e-08,-1.24934603870478e-08,-2.31643049311779e-08,1.6655202946266e-10,4.17818848728583e-10,4.10959530045447e-10,6.4495255097636e-10,2.82016439156845e-09,5.81910930817293e-10,-4.05875776003954e-10,1.02390356250699e-10,-3.56844257895399e-10,4.38698480941878e-10,1.36655803402954e-09,1.03417069329698e-09,7.83264257350018e-10,1.08775212966133e-09,8.89385302757406e-10,5.13440499398369e-09,-2.47549424266926e-07,-1.84596752200996e-08,-6.55924479780009e-08,-3.5552795837745e-08,-1.90249539337455e-08,-1.58866224890296e-08,-9.28658360111338e-09,-2.19078408881334e-08,3.23332449997827e-09,1.32788851693912e-09,1.6941715627666e-09,1.86717625816096e-09,2.55503659225806e-09,2.06660576800569e-09,1.6564438034372e-09,1.91770804350321e-09,4.35321498377467e-09,1.71128687393765e-09,2.38390539479995e-09,2.45913340791759e-09,2.03085392301819e-09,2.94327789110623e-09,3.1134586626958e-09,4.32926592274782e-09,-2.47239135190849e-07,-1.84765057905807e-08,-6.5016211009162e-08,-3.48171155055773e-08,-1.79620252395398e-08,-1.46006946956835e-08,-7.68538458112764e-09,-1.96102089447357e-08,-2.47161514971186e-07,-1.8519183922457e-08,-6.48764869523912e-08,-3.48591227323565e-08,-1.8300063712558e-08,-1.52760124241665e-08,-8.74832655322415e-09,-2.15577340846359e-08,4.28749740003946e-11,4.23263792571506e-10,6.39918710816582e-10,7.43231380417141e-10,2.2691351574995e-09,7.21342022654435e-10,-4.1476714468817e-11,1.40347736981101e-09
"b10",1.31115062244912e-09,3.60167348784711e-09,6.30084176963561e-09,6.80898209076412e-09,6.01719776914319e-09,1.00502848857717e-08,1.18862470196201e-08,1.14868792263568e-08,-1.85444169278741e-08,3.32623254520386e-05,-2.39920222892205e-07,-1.34712131228413e-07,-7.87490422574243e-08,-6.6826288206691e-08,-4.35498560221205e-08,-8.07489675902462e-08,1.28437457155862e-09,1.2451092559283e-08,4.2567875368756e-09,5.2357254772827e-09,1.21497893481672e-08,3.49091785269893e-09,-2.12151027775052e-10,2.22317372146492e-09,2.97054563131654e-10,2.37354857482097e-09,5.13334529407355e-09,3.842830262225e-09,3.11355869777136e-09,4.26429426701107e-09,3.29206870850108e-09,1.82366744978067e-08,-2.77507333320595e-08,-1.00856015810988e-06,-2.28667881363992e-07,-1.23947445981533e-07,-6.63305739203213e-08,-5.53879167989473e-08,-3.23779566571757e-08,-7.6382349369312e-08,1.28356182829159e-09,7.72813851539813e-09,5.4729592195114e-09,6.13536647988904e-09,8.75593044176537e-09,6.90359464845405e-09,5.69988352947178e-09,6.91662957186138e-09,1.13924034645924e-09,3.30145723327534e-09,6.10489422853914e-09,6.21490452981085e-09,5.32530646194281e-09,8.64311602879834e-09,9.59537347667943e-09,1.32236795978369e-08,-2.9874610083071e-08,-1.00905287984104e-06,-2.26635342919078e-07,-1.21361766468561e-07,-6.26084052469026e-08,-5.08886285561758e-08,-2.67825366670268e-08,-6.83431800960518e-08,-3.14029991359659e-08,-1.01137514816351e-06,-2.26157791233757e-07,-1.21517073484388e-07,-6.37940766818341e-08,-5.32492073939698e-08,-3.04933096286104e-08,-7.51477712653654e-08,1.07767962178014e-09,9.72614426046829e-09,4.45274908011578e-09,4.88947366358211e-09,9.76748368794962e-09,3.76565749219897e-09,8.59034561748935e-10,6.55970507555571e-09
