"","time","s0","i0","s1","i1","race","scenario","I","scen","waifw","scen_waifw"
"42",41,0.45048132170709,0.549518678227095,0,0,"Hispanic","No Treatment",0.549518678227095,"0","Assortative","Status Quo - Assortative"
"43",42,0.450042584162707,0.549957415773485,0,0,"Hispanic","No Treatment",0.549957415773485,"0","Assortative","Status Quo - Assortative"
"44",43,0.449604761578592,0.550395238359591,0,0,"Hispanic","No Treatment",0.550395238359591,"0","Assortative","Status Quo - Assortative"
"45",44,0.44916802746491,0.550831972475246,0,0,"Hispanic","No Treatment",0.550831972475246,"0","Assortative","Status Quo - Assortative"
"46",45,0.448732554641717,0.55126744530039,0,0,"Hispanic","No Treatment",0.55126744530039,"0","Assortative","Status Quo - Assortative"
"47",46,0.448298515119373,0.551701484824661,0,0,"Hispanic","No Treatment",0.551701484824661,"0","Assortative","Status Quo - Assortative"
"48",47,0.447866079991802,0.552133919954133,0,0,"Hispanic","No Treatment",0.552133919954133,"0","Assortative","Status Quo - Assortative"
"49",48,0.447435419337745,0.552564580610062,0,0,"Hispanic","No Treatment",0.552564580610062,"0","Assortative","Status Quo - Assortative"
"50",49,0.447006702123438,0.552993297826209,0,0,"Hispanic","No Treatment",0.552993297826209,"0","Assortative","Status Quo - Assortative"
"51",50,0.446580096099333,0.553419903852121,0,0,"Hispanic","No Treatment",0.553419903852121,"0","Assortative","Status Quo - Assortative"
"52",0,0.466886547306564,0.533113452558175,0,0,"Hispanic","One-Time Treatment: 99% Effectiveness",0.533113452558175,"1","Assortative","Treatment - Assortative"
"53",1,0.466445703511659,0.533697005556043,-0.000141872669725494,-8.3653212840125e-07,"Hispanic","One-Time Treatment: 99% Effectiveness",0.533696169023915,"1","Assortative","Treatment - Assortative"
"54",2,0.762788957513535,0.199951018294948,0.0371717438546469,8.82802038585459e-05,"Hispanic","One-Time Treatment: 99% Effectiveness",0.200039298498806,"1","Assortative","Treatment - Assortative"
"55",3,0.798925457379353,0.201076415647396,-1.89517866261077e-06,2.20200744325911e-08,"Hispanic","One-Time Treatment: 99% Effectiveness",0.20107643766747,"1","Assortative","Treatment - Assortative"
"56",4,0.797360012964467,0.202634996478199,5.05880616261563e-06,-6.83794646759949e-08,"Hispanic","One-Time Treatment: 99% Effectiveness",0.202634928098734,"1","Assortative","Treatment - Assortative"
"57",5,0.79576315362077,0.204237012601541,-1.69011119974916e-07,2.65940782224669e-09,"Hispanic","One-Time Treatment: 99% Effectiveness",0.204237015260949,"1","Assortative","Treatment - Assortative"
"58",6,0.794117265930405,0.205882732011786,1.74479490984681e-09,1.84881066996596e-10,"Hispanic","One-Time Treatment: 99% Effectiveness",0.205882732196667,"1","Assortative","Treatment - Assortative"
"59",7,0.792427912173168,0.207572087513219,-2.21472962441999e-10,4.08252732567475e-10,"Hispanic","One-Time Treatment: 99% Effectiveness",0.207572087921472,"1","Assortative","Treatment - Assortative"
"60",8,0.790694943530413,0.209305056345628,2.35195067748229e-10,-2.36736878901656e-10,"Hispanic","One-Time Treatment: 99% Effectiveness",0.209305056108891,"1","Assortative","Treatment - Assortative"
"61",9,0.788918437827817,0.211081562047124,-1.56855272755343e-09,1.56947585103579e-09,"Hispanic","One-Time Treatment: 99% Effectiveness",0.2110815636166,"1","Assortative","Treatment - Assortative"
"62",10,0.787098516696279,0.212901483180306,1.65389411465563e-09,-1.65321600177942e-09,"Hispanic","One-Time Treatment: 99% Effectiveness",0.21290148152709,"1","Assortative","Treatment - Assortative"
"63",11,0.785235380059193,0.214764619819863,-7.96560641465129e-10,7.96200633772018e-10,"Hispanic","One-Time Treatment: 99% Effectiveness",0.214764620616063,"1","Assortative","Treatment - Assortative"
"64",12,0.783329268138944,0.21667073174114,2.00912868582118e-10,-2.00836689231494e-10,"Hispanic","One-Time Treatment: 99% Effectiveness",0.216670731540304,"1","Assortative","Treatment - Assortative"
"65",13,0.78138049205757,0.218619507824291,-6.43774242233746e-10,6.4357336270455e-10,"Hispanic","One-Time Treatment: 99% Effectiveness",0.218619508467864,"1","Assortative","Treatment - Assortative"
"66",14,0.779389407141134,0.220610592742327,-1.38027097965879e-09,1.38000194977391e-09,"Hispanic","One-Time Treatment: 99% Effectiveness",0.220610594122329,"1","Assortative","Treatment - Assortative"
"67",15,0.777356414951917,0.2226435849328,5.29389513836415e-10,-5.29348650522684e-10,"Hispanic","One-Time Treatment: 99% Effectiveness",0.222643584403451,"1","Assortative","Treatment - Assortative"
"68",16,0.7752819674789,0.224718032407463,8.85811494070836e-10,-8.85818230343185e-10,"Hispanic","One-Time Treatment: 99% Effectiveness",0.224718031521645,"1","Assortative","Treatment - Assortative"
"69",17,0.773166554332317,0.226833445555677,8.92638413090954e-11,-8.92698477181505e-11,"Hispanic","One-Time Treatment: 99% Effectiveness",0.226833445466407,"1","Assortative","Treatment - Assortative"
"70",18,0.771010707212502,0.228989292677031,-1.59534268390985e-09,1.59546187065921e-09,"Hispanic","One-Time Treatment: 99% Effectiveness",0.228989294272493,"1","Assortative","Treatment - Assortative"
"71",19,0.768814995477072,0.231185004414319,5.9777682053529e-10,-5.9781842238138e-10,"Hispanic","One-Time Treatment: 99% Effectiveness",0.231185003816501,"1","Assortative","Treatment - Assortative"
"72",20,0.766580043964265,0.23341995592877,-1.88064119367208e-09,1.88068266243372e-09,"Hispanic","One-Time Treatment: 99% Effectiveness",0.233419957809453,"1","Assortative","Treatment - Assortative"
"73",21,0.764306500302695,0.235693499591994,1.20993005853199e-09,-1.20978350374092e-09,"Hispanic","One-Time Treatment: 99% Effectiveness",0.235693498382211,"1","Assortative","Treatment - Assortative"
"74",22,0.761995073088656,0.238004926808128,-5.33788715353566e-10,5.33628687335542e-10,"Hispanic","One-Time Treatment: 99% Effectiveness",0.238004927341757,"1","Assortative","Treatment - Assortative"
"75",23,0.759646491828587,0.240353508069782,1.46503176952358e-10,-1.46430315300962e-10,"Hispanic","One-Time Treatment: 99% Effectiveness",0.240353507923351,"1","Assortative","Treatment - Assortative"
"76",24,0.757261533642551,0.242738466257983,-4.7596626683694e-10,4.75719076003265e-10,"Hispanic","One-Time Treatment: 99% Effectiveness",0.242738466733702,"1","Assortative","Treatment - Assortative"
"77",25,0.754841005099919,0.245158994802645,-7.73640436973649e-10,7.73234604842611e-10,"Hispanic","One-Time Treatment: 99% Effectiveness",0.24515899557588,"1","Assortative","Treatment - Assortative"
"78",26,0.752385746840293,0.247614253063697,1.30419387251106e-10,-1.30353691773587e-10,"Hispanic","One-Time Treatment: 99% Effectiveness",0.247614252933344,"1","Assortative","Treatment - Assortative"
"79",27,0.749896633979405,0.250103365926145,9.07120122039694e-10,-9.06693776379894e-10,"Hispanic","One-Time Treatment: 99% Effectiveness",0.250103365019451,"1","Assortative","Treatment - Assortative"
"80",28,0.747374573544707,0.252625426363241,-6.24390836128927e-11,6.24103959504139e-11,"Hispanic","One-Time Treatment: 99% Effectiveness",0.252625426425652,"1","Assortative","Treatment - Assortative"
"81",29,0.744820500797795,0.255179499112621,-1.3839325172963e-09,1.38339997359044e-09,"Hispanic","One-Time Treatment: 99% Effectiveness",0.255179500496021,"1","Assortative","Treatment - Assortative"
"82",30,0.742235379434419,0.257764620477194,8.72530505169624e-10,-8.72278758423064e-10,"Hispanic","One-Time Treatment: 99% Effectiveness",0.257764619604915,"1","Assortative","Treatment - Assortative"
"83",31,0.739620217576537,0.260379782338007,-3.18216958173825e-09,3.1814877224159e-09,"Hispanic","One-Time Treatment: 99% Effectiveness",0.260379785519494,"1","Assortative","Treatment - Assortative"
"84",32,0.736976027911933,0.263023972003551,2.00398158877697e-09,-2.00359168962602e-09,"Hispanic","One-Time Treatment: 99% Effectiveness",0.263023969999959,"1","Assortative","Treatment - Assortative"
"85",33,0.734303885169769,0.265696114748581,-9.93193941064606e-10,9.92740567408614e-10,"Hispanic","One-Time Treatment: 99% Effectiveness",0.265696115741322,"1","Assortative","Treatment - Assortative"
"86",34,0.731604861782412,0.268395138136669,4.3285188436787e-10,-4.32003905390276e-10,"Hispanic","One-Time Treatment: 99% Effectiveness",0.268395137704665,"1","Assortative","Treatment - Assortative"
"87",35,0.728880076203715,0.271119923723698,-1.11515010256052e-09,1.10970409047397e-09,"Hispanic","One-Time Treatment: 99% Effectiveness",0.271119924833402,"1","Assortative","Treatment - Assortative"
"88",36,0.726130657684899,0.273869342236264,1.31453829825768e-10,-1.28606510919754e-10,"Hispanic","One-Time Treatment: 99% Effectiveness",0.273869342107657,"1","Assortative","Treatment - Assortative"
"89",37,0.723357767760784,0.276642232186534,-6.95372430096335e-10,6.74108640914896e-10,"Hispanic","One-Time Treatment: 99% Effectiveness",0.276642232860643,"1","Assortative","Treatment - Assortative"
"90",38,0.720562577958761,0.279437421920645,7.04036054216916e-10,-6.55345406595661e-10,"Hispanic","One-Time Treatment: 99% Effectiveness",0.279437421265299,"1","Assortative","Treatment - Assortative"
"91",39,0.71774628532862,0.282253714638218,-2.94664049832069e-10,2.5796050528791e-10,"Hispanic","One-Time Treatment: 99% Effectiveness",0.282253714896179,"1","Assortative","Treatment - Assortative"
"92",40,0.714910092707974,0.285089907232195,-5.41310096120762e-11,4.6126838226337e-11,"Hispanic","One-Time Treatment: 99% Effectiveness",0.285089907278321,"1","Assortative","Treatment - Assortative"
"93",41,0.712055219600901,0.287944780337092,-1.58175425832865e-11,1.20094732175438e-11,"Hispanic","One-Time Treatment: 99% Effectiveness",0.287944780349101,"1","Assortative","Treatment - Assortative"
"94",42,0.709182893635563,0.290817106516109,-4.77229888050894e-10,2.61748950824663e-10,"Hispanic","One-Time Treatment: 99% Effectiveness",0.290817106777858,"1","Assortative","Treatment - Assortative"
"95",43,0.706294347554682,0.293705652230517,2.74312378830882e-10,-1.2132844523833e-10,"Hispanic","One-Time Treatment: 99% Effectiveness",0.293705652109189,"1","Assortative","Treatment - Assortative"
"96",44,0.703390823251535,0.296609176704309,-2.80125363617928e-11,1.23232972691637e-11,"Hispanic","One-Time Treatment: 99% Effectiveness",0.296609176716633,"1","Assortative","Treatment - Assortative"
"97",45,0.700473562202894,0.2995264376323,1.6679134065152e-10,-5.98781046442901e-11,"Hispanic","One-Time Treatment: 99% Effectiveness",0.299526437572422,"1","Assortative","Treatment - Assortative"
"98",46,0.697543810966059,0.30245618954235,-8.76468617707106e-10,3.12092842053958e-10,"Hispanic","One-Time Treatment: 99% Effectiveness",0.302456189854443,"1","Assortative","Treatment - Assortative"
"99",47,0.69460281091082,0.305397188645749,6.12352523521085e-10,-2.22986313323206e-10,"Hispanic","One-Time Treatment: 99% Effectiveness",0.305397188422762,"1","Assortative","Treatment - Assortative"
"100",48,0.691651812566547,0.308348188521078,-1.82327885759052e-09,6.83459823070907e-10,"Hispanic","One-Time Treatment: 99% Effectiveness",0.308348189204538,"1","Assortative","Treatment - Assortative"
"101",49,0.688692047862647,0.311307951136514,1.55895606536985e-09,-6.08470536556959e-10,"Hispanic","One-Time Treatment: 99% Effectiveness",0.311307950528044,"1","Assortative","Treatment - Assortative"
